sample,stage,outer_held_out_record,inner_held_out_record,candidate,source,candidate_order,threshold,native_threshold,balanced_accuracy
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.45,0.5,0.5317725752508361
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.55,0.5,0.5104515050167224
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.4,0.5,0.5025083612040134
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.6,0.5,0.5179765886287625
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.35,0.5,0.5025083612040134
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.65,0.5,0.5192307692307693
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.5,0.5,0.5074005550416281
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.45,0.5,0.4937557816836263
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.55,0.5,0.4343200740055504
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.4,0.5,0.5025439407955596
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.6,0.5,0.47802960222016655
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.35,0.5,0.5224329324699353
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-2,round1::logistic_full_baseline_13_l2_10,round1_classifier,2,0.65,0.5,0.4782608695652174
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.5,0.5,0.4378306878306878
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.45,0.5,0.4656084656084656
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.55,0.5,0.48544973544973546
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.4,0.5,0.4880952380952381
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.6,0.5,0.4933862433862434
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.35,0.5,0.5
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogA_Task-2,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.65,0.5,0.5
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.5,0.5,0.5259197324414716
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.45,0.5,0.49414715719063546
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.55,0.5,0.5096153846153846
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.4,0.5,0.49038461538461536
raw_qc_pass,cue_locked,VisualCogA_Task-1,VisualCogB_Task-1,round1::logistic_full_baseline_13_l2_100,round1_classifier,3,0.6,0.5,0.5
