record,feature,n_left_trials,n_right_trials,measured_right_minus_left,trial_bootstrap_95ci_low,trial_bootstrap_95ci_high,crossfit_model_right_minus_left,evidence_role
VisualCogA_Task-1,W1_100_250_F3,29,25,6.97360713488599,-9.087863562930579,25.294967211045666,4.078290354420291,within-record exploratory; window/electrode fixed before inspection
VisualCogA_Task-2,W3_500_800_F4,45,35,-5.032415390200754,-67.28277551250476,47.993838375929286,3.1607748107195874,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-1,W1_100_250_F3,41,42,1.8410405145169015,-21.31894740009455,24.103054666862082,3.912885915372036,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-1,W1_100_250_Fz,41,42,3.619168138065475,-14.721252994689545,26.6443271742737,7.747971495128121,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-1,W1_100_250_F4,41,42,-13.988341254723718,-36.44857004062487,7.570990585413101,6.536214440534638,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-1,W2_250_500_F3,41,42,-1.9607729065196922,-38.33975543455026,32.360623827432995,0.8839058538087139,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-1,W2_250_500_Fz,41,42,2.590950893615308,-25.78425303073406,38.80825629428767,7.330265779186137,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-1,W2_250_500_F4,41,42,-21.415579500101238,-61.31023963990068,15.311017620374802,9.001867695520566,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-1,W3_500_800_F3,41,42,-14.434473861262742,-64.05838260981234,34.59040168238678,-1.4127345414727017,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-1,W3_500_800_Fz,41,42,4.438835954287622,-34.24624159168543,49.843081071651,2.210726251479791,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-1,W3_500_800_F4,41,42,-28.9606066342704,-89.63143031755507,24.17638434729375,4.394175033204817,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-2,W1_100_250_F3,37,43,18.819270532896272,-19.648919916866497,56.520515598239996,3.555172856483424,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-2,W1_100_250_Fz,37,43,0.8448318573295854,-18.516254849878568,21.813972255911636,6.652404240508993,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-2,W1_100_250_F4,37,43,13.689245141521932,-21.251735666141048,48.44524729240097,5.416408537874583,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-2,W2_250_500_F3,37,43,43.59069993747736,-17.06594421020312,103.39412606718349,0.8863381557066488,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-2,W2_250_500_Fz,37,43,9.655228244850809,-20.982480701236078,42.124520856535895,6.50940964795125,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-2,W2_250_500_F4,37,43,40.17628654251797,-16.70840256316553,97.64664580775266,7.892391527233578,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-2,W3_500_800_F3,37,43,86.85386840019655,5.158309375341035,169.1186698277382,-1.7118116618357035,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-2,W3_500_800_Fz,37,43,28.951901723321136,-20.992285236751535,80.53631477422715,2.8158525444677664,within-record exploratory; window/electrode fixed before inspection
VisualCogB_Task-2,W3_500_800_F4,37,43,84.55879672757592,4.3353436006139106,168.56588909091477,5.509319382129387,within-record exploratory; window/electrode fixed before inspection
