condition,correct,heldout_record,mode_count,predicted_label,score_right_minus_left,trial_index,true_label
left,True,VisualCogA_Task-1,3,left,-0.03771648486424861,7,left
left,False,VisualCogA_Task-1,3,right,0.17848807308337375,8,left
left,False,VisualCogA_Task-1,3,right,0.3665497673416452,9,left
left,False,VisualCogA_Task-1,3,right,0.09983369670033883,10,left
left,True,VisualCogA_Task-1,3,left,-0.10120270332280173,11,left
left,False,VisualCogA_Task-1,3,right,0.20170089015888257,12,left
left,False,VisualCogA_Task-1,3,right,0.09481886997658184,13,left
left,True,VisualCogA_Task-1,3,left,-0.04196023152253853,14,left
left,True,VisualCogA_Task-1,3,left,-0.3027031022617153,15,left
left,True,VisualCogA_Task-1,3,left,-0.03711773125838182,16,left
left,False,VisualCogA_Task-1,3,right,0.07796543201799064,17,left
left,False,VisualCogA_Task-1,3,right,0.5841741897342954,18,left
left,False,VisualCogA_Task-1,3,right,0.18543186246739668,19,left
left,False,VisualCogA_Task-1,3,right,0.051921253069005156,20,left
left,False,VisualCogA_Task-1,3,right,0.0604014771093571,21,left
left,False,VisualCogA_Task-1,3,right,0.1561461025668402,22,left
left,False,VisualCogA_Task-1,3,right,0.16552566795150614,23,left
left,False,VisualCogA_Task-1,3,right,0.053134881085773855,24,left
left,True,VisualCogA_Task-1,3,left,-0.04444240235344876,25,left
left,True,VisualCogA_Task-1,3,left,-0.21799777863777417,26,left
left,True,VisualCogA_Task-1,3,left,-0.05750750999936908,27,left
left,False,VisualCogA_Task-1,3,right,0.03445787943633753,28,left
right,True,VisualCogA_Task-1,3,right,0.4441677113710248,0,right
right,False,VisualCogA_Task-1,3,left,-0.09870053289784733,1,right
right,False,VisualCogA_Task-1,3,left,-0.049549703801729385,2,right
right,False,VisualCogA_Task-1,3,left,-0.10855244292852727,3,right
right,False,VisualCogA_Task-1,3,left,-0.11179045162653747,4,right
right,True,VisualCogA_Task-1,3,right,0.09392097984145317,5,right
right,True,VisualCogA_Task-1,3,right,0.027148063128911708,6,right
right,False,VisualCogA_Task-1,3,left,-0.2855922371423262,7,right
right,False,VisualCogA_Task-1,3,left,-0.05468430735685369,8,right
right,True,VisualCogA_Task-1,3,right,0.10148719188348158,9,right
right,False,VisualCogA_Task-1,3,left,-0.3457909639175545,10,right
right,False,VisualCogA_Task-1,3,left,-0.4068612466869221,11,right
right,False,VisualCogA_Task-1,3,left,-0.2967271328325253,12,right
right,False,VisualCogA_Task-1,3,left,-0.062173255767587615,13,right
right,False,VisualCogA_Task-1,3,left,-0.22616412998919544,14,right
right,False,VisualCogA_Task-1,3,left,-0.4535064028795499,15,right
right,True,VisualCogA_Task-1,3,right,0.03676587135811183,16,right
right,True,VisualCogA_Task-1,3,right,0.11271466242332558,17,right
right,True,VisualCogA_Task-1,3,right,0.13719815108462055,18,right
right,True,VisualCogA_Task-1,3,right,0.059940130009567334,19,right
right,False,VisualCogA_Task-1,3,left,-0.028348170107620457,20,right
right,False,VisualCogA_Task-1,3,left,-0.08824259994799716,21,right
right,True,VisualCogA_Task-1,3,right,0.01591634201995059,22,right
right,True,VisualCogA_Task-1,3,right,0.014054264409525018,23,right
right,True,VisualCogA_Task-1,3,right,0.08345863760696377,24,right
