difference_nrmse,difference_rms_ratio,model,predicted_difference_rms,predicted_mode_difference_rms,real_difference_rms,real_mode_difference_rms,record,sensor_difference_correlation,task,u1_difference_correlation
0.9998178004665511,0.00036691261318486004,v2_legacy_rank2,0.0035550678126220966,"[4.955485922544264e-08, 0.006157558075614783, 6.795370747185226e-10]",9.689140369865022,"[12.283477129314418, 9.850983157790228, 5.806259015871337]",VisualCogA_Task-2,0.5741290516634565,Task1,0.2021781883559077
1.0,0.0,zero_predictor,0.0,"[0.0, 0.0, 0.0]",9.689140369865022,"[12.283477129314418, 9.850983157790228, 5.806259015871337]",VisualCogA_Task-2,nan,Task1,nan
1.0998568353714808,0.21698672370255123,v1_fitted,3.1505009614353385,"[5.056822930076648, 2.05073420458762, 6.194648506438649e-07]",14.519325918548336,"[16.183525645703526, 11.476365808899235, 15.453769795175331]",VisualCogB_Task-1,0.20318094973142375,Task2,0.6523043666069942
0.9963436547257503,0.0094303772242047,v2_opponent_rank3,0.1369227204530832,"[2.5704800852832468e-09, 0.23715710853529007, 1.235297538268847e-08]",14.519325918548336,"[16.183525645703526, 11.476365808899235, 15.453769795175331]",VisualCogB_Task-1,0.4644039313363259,Task2,0.4633068809706915
0.996343654605055,0.00943037722459476,v2_opponent_rank2,0.13692272045874662,"[2.2972821989359943e-09, 0.23715710854509967, 1.2437118925812382e-09]",14.519325918548336,"[16.183525645703526, 11.476365808899235, 15.453769795175331]",VisualCogB_Task-1,0.4644039462383895,Task2,0.4633068820817051
0.9999848956415293,3.808059587398144e-05,v2_legacy_rank3,0.0005529045826668635,"[1.0298861677703956e-09, 0.0009576588289079331, 3.959895650857991e-09]",14.519325918548336,"[16.183525645703526, 11.476365808899235, 15.453769795175331]",VisualCogB_Task-1,0.4702503232571744,Task2,0.5001235227472096
0.999984895671278,3.8080593701907537e-05,v2_legacy_rank2,0.0005529045511298146,"[1.0458628686543384e-09, 0.0009576587742923228, 1.3341993717782587e-10]",14.519325918548336,"[16.183525645703526, 11.476365808899235, 15.453769795175331]",VisualCogB_Task-1,0.47024943351155624,Task2,0.5001236148936976
1.0,0.0,zero_predictor,0.0,"[0.0, 0.0, 0.0]",14.519325918548336,"[16.183525645703526, 11.476365808899235, 15.453769795175331]",VisualCogB_Task-1,nan,Task2,nan
0.9642162672755569,0.04845206144297915,v1_fitted,2.4275306377873367,"[3.8886077429197115, 1.599201304993616, 4.095478776993267e-07]",50.10169981403533,"[80.26154843459422, 2.489452913814931, 32.90026504206783]",VisualCogB_Task-2,0.30386243274578795,Task2,0.6976636767479156
0.9996890860521251,0.0348943254752221,v2_opponent_rank3,1.7482650201728234,"[2.5924941480677433e-08, 3.028083840034758, 2.5181380143652074e-08]",50.10169981403533,"[80.26154843459422, 2.489452913814931, 32.90026504206783]",VisualCogB_Task-2,0.04013073311923153,Task2,0.5995800799519969
0.9996890860836999,0.03489432555436906,v2_opponent_rank2,1.7482650241382205,"[2.9792756953980898e-08, 3.028083846903028, 2.0339803927575953e-08]",50.10169981403533,"[80.26154843459422, 2.489452913814931, 32.90026504206783]",VisualCogB_Task-2,0.040130734403498174,Task2,0.5995800777374449
0.9999981298384865,7.190920278576765e-05,v2_legacy_rank3,0.0036027732918391237,"[7.014092522574758e-09, 0.0062401863895798675, 2.051637905495073e-08]",50.10169981403533,"[80.26154843459422, 2.489452913814931, 32.90026504206783]",VisualCogB_Task-2,0.03965522498088302,Task2,0.6932655716057097
0.9999981298715024,7.190920098601476e-05,v2_legacy_rank2,0.0036027732016684446,"[6.880068535084697e-09, 0.006240186233433504, 7.158668604613084e-10]",50.10169981403533,"[80.26154843459422, 2.489452913814931, 32.90026504206783]",VisualCogB_Task-2,0.039654535477819004,Task2,0.693265578635667
1.0,0.0,zero_predictor,0.0,"[0.0, 0.0, 0.0]",50.10169981403533,"[80.26154843459422, 2.489452913814931, 32.90026504206783]",VisualCogB_Task-2,nan,Task2,nan
