dataset,scenario,clip_policy,sqi,channel,window,n_left,n_right,left_right_difference_rms,left_right_difference_mean,max_abs_difference,max_abs_difference_time_ms,bootstrap_pointwise_ci_excludes_zero_pct,imputed_sample_fraction,bootstrap_repeats,interpretation
VisualCogA_Task-2,插补削顶_执行SQI,impute,on,F3,cue_full_0_800ms,52,39,20.792485636415627,19.862760216497517,26.96167202203226,601.5625,0.0,0.008576789064593943,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_执行SQI,impute,on,Fz,cue_full_0_800ms,52,39,13.542579271267124,12.890187431835784,22.657481565468302,796.875,0.009708737864077669,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_执行SQI,impute,on,F4,cue_full_0_800ms,52,39,9.426125345231961,7.608504926070454,25.681214500125805,796.875,0.0,0.0002680246582685607,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_执行SQI,impute,on,F3,target_candidate_250_500ms,52,39,5.282217903149674,5.18250823050704,7.094713741992344,2507.8125,0.0,0.010473901098901098,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_执行SQI,impute,on,Fz,target_candidate_250_500ms,52,39,9.19640268023407,9.066736529745503,11.176424672684306,2570.3125,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogA_Task-2,插补削顶_执行SQI,impute,on,F4,target_candidate_250_500ms,52,39,3.845088379996843,3.0796169543088774,6.280031742672499,2500.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogB_Task-1,剔除削顶_不做SQI,exclude,off,F3,cue_onset_0_200ms,42,43,5.122162874167954,4.877451168037873,7.764449457234343,140.625,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogB_Task-1,剔除削顶_不做SQI,exclude,off,Fz,cue_onset_0_200ms,42,43,8.266721409134782,7.837182657723838,11.97760329331103,140.625,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogB_Task-1,剔除削顶_不做SQI,exclude,off,F4,cue_onset_0_200ms,42,43,8.508131766229372,-7.415076093404587,15.327420222318906,179.6875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogB_Task-1,剔除削顶_不做SQI,exclude,off,F3,cue_offset_200_800ms,42,43,10.269417429457459,-6.114519960225688,18.05853690628748,750.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogB_Task-1,剔除削顶_不做SQI,exclude,off,Fz,cue_offset_200_800ms,42,43,15.913909764760197,14.596108279665563,31.727523632707715,796.875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogB_Task-1,剔除削顶_不做SQI,exclude,off,F4,cue_offset_200_800ms,42,43,32.070555912253916,-30.884187911147496,43.881474194707906,585.9375,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogB_Task-1,剔除削顶_不做SQI,exclude,off,F3,cue_full_0_800ms,42,43,9.244595539762654,-3.339847636586342,18.05853690628748,750.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogB_Task-1,剔除削顶_不做SQI,exclude,off,Fz,cue_full_0_800ms,42,43,14.372725688329995,12.889971714903574,31.727523632707715,796.875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogB_Task-1,剔除削顶_不做SQI,exclude,off,F4,cue_full_0_800ms,42,43,28.05649273489252,-24.959946093076464,43.881474194707906,585.9375,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogB_Task-1,剔除削顶_不做SQI,exclude,off,F3,target_candidate_250_500ms,42,43,3.0000725079549797,2.06345290558208,7.130434889775675,2500.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogB_Task-1,剔除削顶_不做SQI,exclude,off,Fz,target_candidate_250_500ms,42,43,17.535206213455993,17.416603872497383,21.05027918144708,2500.0,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogB_Task-1,剔除削顶_不做SQI,exclude,off,F4,target_candidate_250_500ms,42,43,12.63562218476996,-12.479683974406097,15.606465160836375,2640.625,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogB_Task-1,剔除削顶_执行SQI,exclude,on,F3,cue_onset_0_200ms,41,42,1.6071867858342477,1.2083116629427881,3.3524846847814986,140.625,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogB_Task-1,剔除削顶_执行SQI,exclude,on,Fz,cue_onset_0_200ms,41,42,2.9095376239023887,2.4878728195572957,5.413327152192684,140.625,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogB_Task-1,剔除削顶_执行SQI,exclude,on,F4,cue_onset_0_200ms,41,42,10.737199810866912,-10.060018494380815,16.90218415683468,179.6875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
VisualCogB_Task-1,剔除削顶_执行SQI,exclude,on,F3,cue_offset_200_800ms,41,42,10.6478040021284,-7.96173335328401,18.211792863518763,742.1875,0.0,0.0,1000,descriptive_pointwise_CI_not_familywise_test
