sample,stage,candidate,model,feature_set,scaler,parameter,gamma,mean_accuracy,mean_balanced_accuracy,sd_balanced_accuracy,mean_auc,mean_macro_f1,valid_record_folds
q1_quality_matched,target_locked,rbf_svm_full_baseline_13_C_0.1_gamma_0.03,rbf_svm,full_baseline_13,standard,0.1,0.03,0.4827532351628737,0.5,0.0,0.5366942404768797,0.3251574734945103,4
q1_quality_matched,target_locked,rbf_svm_full_baseline_13_C_0.1_gamma_0.1,rbf_svm,full_baseline_13,standard,0.1,0.1,0.47962823516287373,0.49642857142857144,0.007142857142857145,0.5405690703235053,0.3236319204815431,4
q1_quality_matched,target_locked,rbf_svm_full_baseline_13_C_0.1_gamma_scale,rbf_svm,full_baseline_13,standard,0.1,scale,0.48900323516287375,0.5054515599343186,0.009156850925632037,0.538333002439052,0.34928283075364486,4
q1_quality_matched,target_locked,rbf_svm_full_baseline_13_C_10_gamma_0.03,rbf_svm,full_baseline_13,standard,10.0,0.03,0.4929607318161535,0.4917891855290881,0.07437836369232662,0.4979164505491104,0.4845490431312152,4
q1_quality_matched,target_locked,rbf_svm_full_baseline_13_C_10_gamma_0.1,rbf_svm,full_baseline_13,standard,10.0,0.1,0.5215319611780456,0.5205081295358938,0.031086248112951645,0.528666362253997,0.5149445049583807,4
q1_quality_matched,target_locked,rbf_svm_full_baseline_13_C_10_gamma_scale,rbf_svm,full_baseline_13,standard,10.0,scale,0.5107652833556449,0.509407192280674,0.023001259219394134,0.5309125167292085,0.5042546185313007,4
q1_quality_matched,target_locked,rbf_svm_full_baseline_13_C_1_gamma_0.03,rbf_svm,full_baseline_13,standard,1.0,0.03,0.5053477800089246,0.5018855725327355,0.06810094809710714,0.5390359270720919,0.485388147066926,4
q1_quality_matched,target_locked,rbf_svm_full_baseline_13_C_1_gamma_0.1,rbf_svm,full_baseline_13,standard,1.0,0.1,0.49747740963855425,0.49838909189360026,0.0751497943966047,0.5225788941203497,0.48997876783051614,4
q1_quality_matched,target_locked,rbf_svm_full_baseline_13_C_1_gamma_scale,rbf_svm,full_baseline_13,standard,1.0,scale,0.48960982820169563,0.4903069195704203,0.08953566902979411,0.520708067737915,0.48342244353488195,4
q1_quality_matched,target_locked,robust_logistic_drop_redundant_alpha_asym_12_l2_0.1,logistic,drop_redundant_alpha_asym_12,robust,0.1,,0.5210829428826417,0.5187534879726872,0.05032880603753194,0.542220058298647,0.5093194854147398,4
q1_quality_matched,target_locked,robust_logistic_drop_redundant_alpha_asym_12_l2_1,logistic,drop_redundant_alpha_asym_12,robust,1.0,,0.516453313253012,0.5134384810850768,0.04260061921889209,0.5390442576198635,0.5013475217419892,4
q1_quality_matched,target_locked,robust_logistic_drop_redundant_alpha_asym_12_l2_10,logistic,drop_redundant_alpha_asym_12,robust,10.0,,0.5151745872378403,0.51283075002108,0.029785202417845977,0.5295886739909468,0.5001295285294454,4
q1_quality_matched,target_locked,robust_logistic_full_baseline_13_l2_0.1,logistic,full_baseline_13,robust,0.1,,0.5210829428826417,0.5187534879726872,0.05032880603753194,0.542220058298647,0.5093194854147398,4
q1_quality_matched,target_locked,robust_logistic_full_baseline_13_l2_1,logistic,full_baseline_13,robust,1.0,,0.510316265060241,0.5068908620374577,0.04022211913903642,0.540223653403969,0.4942661260368004,4
q1_quality_matched,target_locked,robust_logistic_full_baseline_13_l2_10,logistic,full_baseline_13,robust,10.0,,0.5088116354306114,0.5051652447945991,0.04242328003108709,0.528407948923919,0.4903122937733922,4
q1_quality_matched,target_locked,shrinkage_lda_bandpower_only_9,lda,bandpower_only_9,standard,,,0.49943942436412314,0.4973936684212077,0.056894813163131594,0.5394934539696603,0.4881930446198215,4
