sample,stage,held_out_record,target_feature,model,n_train,n_test,heldout_rmse_standardized,training_aic,training_bic,predictors
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_F3,Model-F_VHP_plus_Tcandidate,287,100,2.2035821045425754,717.0060750004695,738.9629682950273,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_F3,Model-F_VHP_gamma_plus_Tcandidate,287,100,2.293953803815938,587.9016967265604,613.5180722368777,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_Fz,Model-0_V,287,100,0.7280299314530196,817.5853188322554,828.5637654795343,V
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_Fz,Model-0_VplusGamma,287,100,1.4722243281180651,672.864988758904,687.5029176219425,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_Fz,Model-A1_no_H,287,100,1.4856437347308564,657.0489506777988,671.6868795408373,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_Fz,Model-A2_no_P,287,100,0.7282698927518944,818.0333852795719,832.6713141426104,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_Fz,Model-A3_no_T,287,100,1.4921518638057392,658.7905804495282,677.0879915283263,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_Fz,Model-F_VHP_plus_Tcandidate,287,100,1.6215624072038377,653.7416094892053,675.698502783763,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_Fz,Model-F_VHP_gamma_plus_Tcandidate,287,100,2.267517747531438,533.5555866307493,559.1719621410666,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_F4,Model-0_V,287,100,2.9524848411917124,820.3283505949548,831.3067972422336,V
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_F4,Model-0_VplusGamma,287,100,2.3534397334136554,786.9079861847081,801.5459150477466,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_F4,Model-A1_no_H,287,100,2.6386906490859268,708.10758673368,722.7455155967185,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_F4,Model-A2_no_P,287,100,2.9575567055057537,817.914885517495,832.5528143805335,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_F4,Model-A3_no_T,287,100,2.6454602761545694,708.6462736388908,726.9436847176888,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_F4,Model-F_VHP_plus_Tcandidate,287,100,2.686744268661181,694.8885352197088,716.8454285142666,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,log_beta_power_F4,Model-F_VHP_gamma_plus_Tcandidate,287,100,2.809762610810569,695.206948090917,720.8233236012343,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,AI_alpha,Model-0_V,287,100,1.4535041320595699,820.4658374973391,831.4442841446179,V
raw_qc_pass,cue_locked,VisualCogA_Task-1,AI_alpha,Model-0_VplusGamma,287,100,1.6051142203013276,815.4309702255199,830.0688990885584,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-1,AI_alpha,Model-A1_no_H,287,100,1.5465345645120319,809.4701609594725,824.108089822511,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,AI_alpha,Model-A2_no_P,287,100,1.4600411625333956,821.7165386973505,836.354467560389,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-1,AI_alpha,Model-A3_no_T,287,100,1.5595632938523214,809.788023108344,828.085434187142,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-1,AI_alpha,Model-F_VHP_plus_Tcandidate,287,100,1.6378618665531643,788.5579481240322,810.51484141859,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-1,AI_alpha,Model-F_VHP_gamma_plus_Tcandidate,287,100,1.80927532054296,783.8756526355826,809.4920281458999,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_F3,Model-0_V,291,96,1.3778835905064273,654.0188895754258,665.0388593769402,V
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_F3,Model-0_VplusGamma,291,96,1.3671962442747552,648.9708664833312,663.6641595520172,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_F3,Model-A1_no_H,291,96,1.3770089937371814,655.0509922344402,669.7442853031262,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_F3,Model-A2_no_P,291,96,1.3784841211476218,655.9904510029256,670.6837440716116,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_F3,Model-A3_no_T,291,96,1.3773017190985548,657.0445210821965,675.411137418054,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_F3,Model-F_VHP_plus_Tcandidate,291,96,1.364241120632678,656.6571476109248,678.6970872139538,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_F3,Model-F_VHP_gamma_plus_Tcandidate,291,96,1.3583928288060485,652.6842895053109,678.3975523755113,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_Fz,Model-0_V,291,96,0.5239887987074243,825.1608457635969,836.1808155651113,V
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_Fz,Model-0_VplusGamma,291,96,0.5079241554793815,810.8934718101392,825.5867648788252,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_Fz,Model-A1_no_H,291,96,0.5162795616044816,817.7516925908028,832.4449856594888,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_Fz,Model-A2_no_P,291,96,0.545628672030054,823.6593182370578,838.3526113057438,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_Fz,Model-A3_no_T,291,96,0.5340979847220816,817.2852494081045,835.6518657439619,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_Fz,Model-F_VHP_plus_Tcandidate,291,96,0.526999852824407,815.1594213109053,837.1993609139342,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_Fz,Model-F_VHP_gamma_plus_Tcandidate,291,96,0.521057799817033,811.4220028487426,837.1352657189431,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_F4,Model-0_V,291,96,0.7116363695356365,701.2591661349929,712.2791359365074,V
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_F4,Model-0_VplusGamma,291,96,0.7262783716553841,697.9929605679533,712.6862536366393,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_F4,Model-A1_no_H,291,96,0.7172920063560153,700.4245458227871,715.1178388914731,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_F4,Model-A2_no_P,291,96,0.7143972695163054,701.7144855282185,716.4077785969044,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_F4,Model-A3_no_T,291,96,0.7208455689304035,700.4408921382557,718.8075084741131,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,erp_mean_F4,Model-F_VHP_plus_Tcandidate,291,96,0.7269478830532634,702.2186869361357,724.2586265391647,V;H;P;T
