trial,channel,clipping_ratio,longest_clip_s,peak_to_peak,jump,drift,peak_to_peak_z,jump_z,drift_z,clip_abnormal,amplitude_abnormal,jump_abnormal,drift_abnormal,is_abnormal
5,Fz,0.0,0.0,87.8919661249713,16.116578927290707,9.338521400778063,-0.915614367816095,-1.2855531914894676,-0.4166029411764736,False,False,False,False,False
5,F4,0.0,0.0,143.09910734721905,20.714122224765408,10.26932173647674,-0.6685018308631212,-0.9605782556752271,-0.7230977880783928,False,False,False,False,False
6,F3,0.0,0.0,1060.1968413824675,24.028381780727813,990.5851834897385,3.7973608791208804,-0.14700275074059377,7.758112693406928,False,True,False,True,True
6,Fz,0.0,0.0,128.60303654535755,18.715190356298052,51.224536507209905,-0.2261254789272013,0.0007553191489397651,1.8060891356542552,False,False,False,False,False
6,F4,0.0,0.0,1286.854352635996,23.16319523918515,1191.3633936064698,3.7393292066259813,0.33281780167264763,7.768131536147028,False,True,False,True,True
7,F3,0.0,0.0,142.33615625238417,22.778667887388355,70.86289768825822,-0.6611582417582427,-0.6145571307659876,-0.25505632206563517,False,False,False,False,False
7,Fz,0.0,0.0,52.21637293049514,17.306782635233297,3.7384603646906953,-1.5198216475095816,-0.6964042553190589,-0.7137716086434471,False,False,False,False,False
7,F4,0.0,0.0,446.3263904783703,20.167849240863575,381.6739147020674,0.5000826503923276,-1.2490740740743744,1.9470380174026174,False,False,False,False,False
8,F3,0.0,0.0,531.2275883115892,25.375753414206095,322.4994277866789,1.2278864835164833,0.3570882352940977,1.9373511875431186,False,False,False,False,False
8,Fz,0.0,0.0,100.22125581750197,17.885099565117812,48.310063324940984,-0.7068036398467467,-0.410138297872358,1.651431872749099,False,False,False,False,False
8,F4,0.0,0.0,702.3727779049362,23.35545891508351,470.71030746929125,1.4868402789886657,0.4343554360812593,2.587146580466781,False,False,False,False,False
9,F3,0.0,0.0,491.9203479056994,22.130159456778685,411.1848630502784,1.0369510989010995,-0.8571830300465876,2.7100315856903543,False,False,False,False,False
9,Fz,0.0,0.0,67.38384069581139,16.06164644846259,13.611047531853103,-1.2629431034482783,-1.3127446808511778,-0.18988025210084242,False,False,False,False,False
9,F4,0.0,0.0,192.72144655527597,19.269092851148105,79.11802853437098,-0.4772660854402784,-1.7237222222226305,-0.22812437993006396,False,False,False,False,False
10,F3,0.0,0.0,131.25810635538255,23.254749370565293,86.91538872358285,-0.714970000000001,-0.43644117647059905,-0.11519744752143476,False,False,False,False,False
10,Fz,0.0,0.0,74.00625619897755,16.08453498130792,25.207904173342627,-1.1507848659003868,-1.3014148936169918,0.42550990396159216,False,False,False,False,False
10,F4,0.0,0.0,152.0714122224765,20.639353017471503,100.25177386129553,-0.6339241499564081,-1.00006511350085,-0.0761877287143202,False,False,False,False,False
11,F3,0.0,0.0,1069.1386282139315,25.44747081712046,755.7335774776838,3.8407957142857145,0.38391980533214465,5.7119454518577,False,True,False,True,True
11,Fz,0.0,0.0,97.96292057679113,17.190814068818277,52.201113908598415,-0.7450511494252868,-0.7538085106382769,1.8579114645858243,False,False,False,False,False
11,F4,0.0,0.0,693.2173647669183,20.997940032044095,339.36064698252846,1.4515569311246725,-0.8106893667862417,1.6428356103114585,False,False,False,False,False
12,F3,0.0,0.0,139.1317616540781,22.265964751659325,91.32524605172813,-0.6767236263736264,-0.8063743123148753,-0.0767761407312503,False,False,False,False,False
