Task,Dataset,window_start_ms,window_end_ms,window_center_ms,window_samples,offset_relative_center_ms,AUC_signed_mean_folds,AUC_discriminability,AUC_fold_SD_descriptive,Global_permutation_p,FWER_significant_0.05,Global_null_95_threshold,N_trials,N_left,N_right,N_permutations
Task1,VisualCogA_Task-1,1800.0,1900.0000000000002,1850.0,13,1650.0000000000002,0.406047619047619,0.593952380952381,0.16366009241821947,1.0,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,1900.0000000000002,2000.0,1950.0000000000002,12,1750.0000000000002,0.6253333333333333,0.6253333333333333,0.20686281014774557,1.0,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,2000.0,2100.0,2050.0,13,1849.9999999999998,0.45504761904761903,0.544952380952381,0.14672100106731484,1.0,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-1,2100.0,2200.0,2150.0000000000005,13,1950.0000000000005,0.4748571428571428,0.5251428571428571,0.11872499139931088,1.0,0,0.8153809523809523,54,29,25,199
Task1,VisualCogA_Task-2,0.0,100.0,50.0,13,-150.00000000000003,0.6055690836940837,0.6055690836940837,0.04293199397211988,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,100.0,200.0,150.00000000000003,13,-49.999999999999986,0.5820544733044734,0.5820544733044734,0.05118578879524381,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,200.0,300.00000000000006,250.0,13,49.999999999999986,0.39297528860028863,0.6070247113997114,0.18564089263399702,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,300.00000000000006,400.0,350.00000000000006,13,150.00000000000003,0.4064466089466089,0.5935533910533911,0.14125027293844067,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,400.0,500.0,450.0,12,250.0,0.39236742424242427,0.6076325757575758,0.08986280464010746,1.0,0,0.8153809523809523,80,45,35,199
Task1,VisualCogA_Task-2,500.0,600.0,550.0,13,350.00000000000006,0.3716242784992785,0.6283757215007215,0.11003149852018837,1.0,0,0.8153809523809523,80,45,35,199
