task,record,fold,clean_trial_index_1based,cue_true,prediction,region_channel,region_start_ms,region_end_exclusive_ms,region_valid_points,total_curve_points,region_weight,weighted_loss_left,weighted_loss_right,residual_loss_left,residual_loss_right,empirical_curve_loss_left,empirical_curve_loss_right,algebraic_cancellation_max_abs_error,correct,window_source
Task1,VisualCogA_Task-1,1,1,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.32827466956017826,1.2270205910301235,7.802836376468853,29.165335586792935,7.802836376468852,29.165335586792935,8.881784197001252e-16,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,5,48,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.3168569715466874,0.6594715599741291,7.531446477532801,15.675131694769684,7.531446477532801,15.675131694769684,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,5,49,right,right,F4,125.0,226.5625,13,309,0.042071197411003236,0.6900343606447664,0.6128139365351162,16.401585956864064,14.566115876103915,16.401585956864064,14.566115876103911,3.552713678800501e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,5,50,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,3.086977366969024,4.053767340199965,73.37507741487912,96.35493139398378,73.37507741487912,96.35493139398379,1.4210854715202004e-14,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,5,51,right,right,F4,125.0,226.5625,13,309,0.042071197411003236,1.5970211796940466,0.6302312064631058,37.95996496349695,14.980110984392285,37.95996496349695,14.980110984392285,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,5,52,right,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.32763992549999693,0.6391500477309435,7.787748998423004,15.192104980681657,7.7877489984230035,15.192104980681659,1.7763568394002505e-15,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,5,53,left,left,F4,125.0,226.5625,13,309,0.042071197411003236,0.6063548930857146,0.878624113054001,14.412589381806601,20.884219302591255,14.4125893818066,20.884219302591255,1.7763568394002505e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-1,5,54,right,right,F4,125.0,226.5625,13,309,0.042071197411003236,0.9342911503787072,0.1811122418636976,22.20738195900158,4.304898671990966,22.20738195900158,4.3048986719909665,8.881784197001252e-16,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,1,1,right,left,Fz,265.625,289.0625,3,309,0.009708737864077669,0.12962906310023592,0.21479174093125347,13.351793499324302,22.12354931591911,13.3517934993243,22.12354931591911,1.7763568394002505e-15,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,1,2,left,left,Fz,265.625,289.0625,3,309,0.009708737864077669,0.15229565788131427,0.23745833571233183,15.686452761775373,24.45820857837018,15.68645276177537,24.45820857837018,1.7763568394002505e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,1,3,left,right,Fz,265.625,289.0625,3,309,0.009708737864077669,0.1549292314483978,0.06976655361738023,15.957710839184974,7.185955022590164,15.957710839184974,7.185955022590165,8.881784197001252e-16,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,1,4,left,left,Fz,265.625,289.0625,3,309,0.009708737864077669,0.22642554715172464,0.31158822498274225,23.32183135662764,32.09358717322245,23.32183135662764,32.09358717322245,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,1,5,right,left,Fz,265.625,289.0625,3,309,0.009708737864077669,0.2530523781155389,0.3382150559465565,26.064394945900506,34.83615076249532,26.064394945900506,34.83615076249532,0.0,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,1,6,left,left,Fz,265.625,289.0625,3,309,0.009708737864077669,0.08547390516121837,0.1706365829922359,8.803812231605493,17.5755680482003,8.803812231605493,17.5755680482003,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,1,7,right,right,Fz,265.625,289.0625,3,309,0.009708737864077669,0.1871898336558363,0.10202715582481876,19.28055286655114,10.508797049956334,19.280552866551144,10.508797049956332,3.552713678800501e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,1,8,right,right,Fz,265.625,289.0625,3,309,0.009708737864077669,0.04446577471350339,0.040696903117514165,4.579974795490849,4.191781021103959,4.579974795490851,4.191781021103959,1.7763568394002505e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,1,9,left,right,Fz,265.625,289.0625,3,309,0.009708737864077669,0.19907508926195155,0.113912411430934,20.50473419398101,11.732978377386203,20.50473419398101,11.732978377386203,0.0,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,1,10,left,right,Fz,265.625,289.0625,3,309,0.009708737864077669,0.5089764526286849,0.42381377479766735,52.42457462075455,43.65281880415974,52.42457462075455,43.65281880415974,0.0,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,1,11,right,right,Fz,265.625,289.0625,3,309,0.009708737864077669,0.111734272462409,0.03655591132398157,11.508630063628127,3.765258866370102,11.50863006362813,3.7652588663701025,3.552713678800501e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,1,12,right,right,Fz,265.625,289.0625,3,309,0.009708737864077669,0.07635641326186471,0.013046918299342007,7.864710565972065,1.3438325848322268,7.864710565972068,1.3438325848322268,2.6645352591003757e-15,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,1,13,right,right,Fz,265.625,289.0625,3,309,0.009708737864077669,0.5700892668194524,0.4849265889884349,58.7191944824036,49.9474386658088,58.7191944824036,49.9474386658088,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,1,14,left,right,Fz,265.625,289.0625,3,309,0.009708737864077669,0.2533903977995462,0.16822771996852862,26.099210973353262,17.32745515675845,26.099210973353262,17.32745515675845,0.0,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,1,15,left,left,Fz,265.625,289.0625,3,309,0.009708737864077669,0.2512797373670856,0.33644241519810314,25.88181294880982,34.65356876540463,25.88181294880982,34.65356876540463,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,1,16,left,right,Fz,265.625,289.0625,3,309,0.009708737864077669,0.12375425924175122,0.03877357524692964,12.746688701900377,3.9936782504337534,12.74668870190038,3.9936782504337542,3.552713678800501e-15,0,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,2,17,right,right,Fz,265.625,289.0625,3,309,0.009708737864077669,0.41368353419001785,0.2846946470349646,42.60940402157184,29.32354864460136,42.60940402157184,29.32354864460136,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,2,18,right,right,Fz,265.625,289.0625,3,309,0.009708737864077669,0.3054229406997762,0.176434053544723,31.458562892076955,18.17270751510647,31.458562892076955,18.17270751510647,0.0,1,14 exploratory all-trial search; window-selection leakage
Task1,VisualCogA_Task-2,2,19,left,right,Fz,265.625,289.0625,3,309,0.009708737864077669,0.8307011006688289,0.7017122135137756,85.56221336888937,72.27635799191889,85.56221336888937,72.27635799191889,0.0,0,14 exploratory all-trial search; window-selection leakage
