record,original_trial_index,correct_response_side,truth_source,authoritative_omission
VisualCogB_Task-1,49,,,
VisualCogB_Task-1,50,,,
VisualCogB_Task-1,51,,,
VisualCogB_Task-1,52,,,
VisualCogB_Task-1,53,,,
VisualCogB_Task-1,54,,,
VisualCogB_Task-1,55,,,
VisualCogB_Task-1,56,,,
VisualCogB_Task-1,57,,,
VisualCogB_Task-1,58,,,
VisualCogB_Task-1,59,,,
VisualCogB_Task-1,60,,,
VisualCogB_Task-1,61,,,
VisualCogB_Task-1,62,,,
VisualCogB_Task-1,63,,,
VisualCogB_Task-1,64,,,
VisualCogB_Task-1,65,,,
VisualCogB_Task-1,66,,,
VisualCogB_Task-1,67,,,
VisualCogB_Task-1,68,,,
VisualCogB_Task-1,69,,,
VisualCogB_Task-1,70,,,
VisualCogB_Task-1,71,,,
VisualCogB_Task-1,72,,,
VisualCogB_Task-1,73,,,
VisualCogB_Task-1,74,,,
VisualCogB_Task-1,75,,,
VisualCogB_Task-1,76,,,
VisualCogB_Task-1,77,,,
VisualCogB_Task-1,78,,,
VisualCogB_Task-1,79,,,
VisualCogB_Task-1,80,,,
VisualCogB_Task-1,81,,,
VisualCogB_Task-1,82,,,
VisualCogB_Task-1,83,,,
VisualCogB_Task-1,84,,,
VisualCogB_Task-1,85,,,
VisualCogB_Task-1,86,,,
VisualCogB_Task-1,87,,,
VisualCogB_Task-1,88,,,
VisualCogB_Task-1,89,,,
VisualCogB_Task-1,90,,,
VisualCogB_Task-1,91,,,
VisualCogB_Task-1,92,,,
VisualCogB_Task-1,93,,,
VisualCogB_Task-1,94,,,
VisualCogB_Task-1,95,,,
VisualCogB_Task-1,96,,,
VisualCogB_Task-1,97,,,
VisualCogB_Task-1,98,,,
VisualCogB_Task-1,99,,,
VisualCogB_Task-2,0,,,
VisualCogB_Task-2,1,,,
VisualCogB_Task-2,2,,,
VisualCogB_Task-2,3,,,
VisualCogB_Task-2,4,,,
VisualCogB_Task-2,5,,,
VisualCogB_Task-2,6,,,
VisualCogB_Task-2,7,,,
VisualCogB_Task-2,8,,,
VisualCogB_Task-2,9,,,
VisualCogB_Task-2,10,,,
VisualCogB_Task-2,11,,,
VisualCogB_Task-2,12,,,
VisualCogB_Task-2,13,,,
VisualCogB_Task-2,14,,,
VisualCogB_Task-2,15,,,
VisualCogB_Task-2,16,,,
VisualCogB_Task-2,17,,,
VisualCogB_Task-2,18,,,
VisualCogB_Task-2,19,,,
VisualCogB_Task-2,20,,,
VisualCogB_Task-2,21,,,
VisualCogB_Task-2,22,,,
VisualCogB_Task-2,23,,,
VisualCogB_Task-2,24,,,
VisualCogB_Task-2,25,,,
VisualCogB_Task-2,26,,,
VisualCogB_Task-2,27,,,
VisualCogB_Task-2,28,,,
VisualCogB_Task-2,29,,,
VisualCogB_Task-2,30,,,
VisualCogB_Task-2,31,,,
VisualCogB_Task-2,32,,,
VisualCogB_Task-2,33,,,
VisualCogB_Task-2,34,,,
VisualCogB_Task-2,35,,,
VisualCogB_Task-2,36,,,
VisualCogB_Task-2,37,,,
VisualCogB_Task-2,38,,,
VisualCogB_Task-2,39,,,
VisualCogB_Task-2,40,,,
VisualCogB_Task-2,41,,,
VisualCogB_Task-2,42,,,
VisualCogB_Task-2,43,,,
VisualCogB_Task-2,44,,,
VisualCogB_Task-2,45,,,
VisualCogB_Task-2,46,,,
VisualCogB_Task-2,47,,,
VisualCogB_Task-2,48,,,
VisualCogB_Task-2,49,,,
VisualCogB_Task-2,50,,,
VisualCogB_Task-2,51,,,
VisualCogB_Task-2,52,,,
VisualCogB_Task-2,53,,,
VisualCogB_Task-2,54,,,
VisualCogB_Task-2,55,,,
VisualCogB_Task-2,56,,,
VisualCogB_Task-2,57,,,
VisualCogB_Task-2,58,,,
VisualCogB_Task-2,59,,,
VisualCogB_Task-2,60,,,
VisualCogB_Task-2,61,,,
VisualCogB_Task-2,62,,,
VisualCogB_Task-2,63,,,
VisualCogB_Task-2,64,,,
VisualCogB_Task-2,65,,,
VisualCogB_Task-2,66,,,
VisualCogB_Task-2,67,,,
VisualCogB_Task-2,68,,,
VisualCogB_Task-2,69,,,
VisualCogB_Task-2,70,,,
VisualCogB_Task-2,71,,,
VisualCogB_Task-2,72,,,
VisualCogB_Task-2,73,,,
VisualCogB_Task-2,74,,,
VisualCogB_Task-2,75,,,
VisualCogB_Task-2,76,,,
VisualCogB_Task-2,77,,,
VisualCogB_Task-2,78,,,
VisualCogB_Task-2,79,,,
VisualCogB_Task-2,80,,,
VisualCogB_Task-2,81,,,
VisualCogB_Task-2,82,,,
VisualCogB_Task-2,83,,,
VisualCogB_Task-2,84,,,
VisualCogB_Task-2,85,,,
VisualCogB_Task-2,86,,,
VisualCogB_Task-2,87,,,
VisualCogB_Task-2,88,,,
VisualCogB_Task-2,89,,,
VisualCogB_Task-2,90,,,
VisualCogB_Task-2,91,,,
VisualCogB_Task-2,92,,,
VisualCogB_Task-2,93,,,
VisualCogB_Task-2,94,,,
VisualCogB_Task-2,95,,,
VisualCogB_Task-2,96,,,
VisualCogB_Task-2,97,,,
VisualCogB_Task-2,98,,,
VisualCogB_Task-2,99,,,
