dataset,task,stage,condition,n_trials,association_time_scale,mean_full_curve_r,f3_full_curve_r,fz_full_curve_r,f4_full_curve_r,fz_sim_late_peak_ms,fz_real_late_peak_ms,fz_peak_abs_error_ms,fz_sim_peak_at_window_edge,fz_real_peak_at_window_edge,fz_sim_late_peak,fz_real_late_peak,late_topography_cosine,fit_role,cv_unconstrained_scale,cv_boundary_constrained_scale
VisualCogB_Task-1,Task2,Stage1,right,42,1.65,0.5078724889002404,0.48743551190737766,0.5789951721395887,0.4571867826537548,609.375,671.875,62.5,False,False,0.2441372610628605,30.893519714900787,0.8776515942357059,boundary_constrained_fullcurve,2.45,1.65
VisualCogB_Task-1,Task2,Stage2,outward,81,1.5,-0.07778182603332928,0.16186387137269376,-0.4129708107611591,0.017761461288477484,440.62499999999983,417.18749999999983,23.4375,False,False,0.24926619231700897,6.799877332602368,-0.24873784634312007,fixed_baseline,2.45,1.65
VisualCogB_Task-1,Task2,Stage2,outward,81,2.45,-0.08095881388842917,0.4042087801003513,-0.7019653569603004,0.05488013519466161,495.31249999999983,417.18749999999983,78.125,True,False,0.20125393662601704,6.799877332602368,-0.2487378437258382,unconstrained_fullcurve,2.45,1.65
VisualCogB_Task-1,Task2,Stage2,outward,81,1.65,-0.07319861911129591,0.2184733030311537,-0.47349797548403055,0.035428815118989126,479.68749999999983,417.18749999999983,62.5,False,False,0.2458525924012065,6.799877332602368,-0.24873784226813125,boundary_constrained_fullcurve,2.45,1.65
VisualCogB_Task-2,Task2,Stage1,left,37,1.5,0.17374734524747973,-0.43830737233916095,0.6010063724120694,0.3585430356695307,570.3125,664.0625,93.75,False,False,0.24792582169175148,77.33228561704858,0.4630908507459443,fixed_baseline,2.5,1.65
VisualCogB_Task-2,Task2,Stage1,left,37,2.5,0.4884279711703495,-0.1123366995067498,0.8718378405704518,0.7057827724473466,695.3125,664.0625,31.25,True,False,0.2125028008595109,77.33228561704858,0.46438330034032543,unconstrained_fullcurve,2.5,1.65
VisualCogB_Task-2,Task2,Stage1,left,37,1.65,0.23412501969048136,-0.38225940496749095,0.6588831321611422,0.42575133187779274,609.375,664.0625,54.6875,False,False,0.24413725174963474,77.33228561704858,0.46321333010597276,boundary_constrained_fullcurve,2.5,1.65
VisualCogB_Task-2,Task2,Stage1,right,43,1.5,0.672633817237995,0.672078826624901,0.6611032445792657,0.6847193805098182,570.3125,679.6875,109.375,False,False,0.24792582169175148,108.36242640774934,0.9777426046379076,fixed_baseline,2.5,1.65
VisualCogB_Task-2,Task2,Stage1,right,43,2.5,0.919205811454713,0.9179482178212097,0.9129021437847379,0.9267670727581911,695.3125,679.6875,15.625,True,False,0.2125027859583497,108.36242640774934,0.9772403274984852,unconstrained_fullcurve,2.5,1.65
VisualCogB_Task-2,Task2,Stage1,right,43,1.65,0.7269016451157561,0.7265043248404369,0.7159206050373043,0.7382800054695269,609.375,679.6875,70.3125,False,False,0.2441372610628605,108.36242640774934,0.9776953075439645,boundary_constrained_fullcurve,2.5,1.65
VisualCogB_Task-2,Task2,Stage2,inward,40,1.5,0.31462221743496915,-0.6254194099585537,0.7622056394863311,0.8070804227771301,424.99999999999983,464.06249999999983,39.0625,False,False,0.25809502601623535,18.007781402071135,0.7944503388642027,fixed_baseline,2.5,1.65
VisualCogB_Task-2,Task2,Stage2,inward,40,2.5,0.26193367369691334,-0.8338788783834035,0.815365672791289,0.8043142266828545,495.31249999999983,464.06249999999983,31.25,True,False,0.22355884127318854,18.007781402071135,0.7944503354552851,unconstrained_fullcurve,2.5,1.65
VisualCogB_Task-2,Task2,Stage2,inward,40,1.65,0.31522093677392066,-0.6750834722381586,0.793965722804881,0.8267805597550396,464.06249999999983,464.06249999999983,0.0,False,False,0.25592360831797123,18.007781402071135,0.7944503364549068,boundary_constrained_fullcurve,2.5,1.65
VisualCogB_Task-2,Task2,Stage2,outward,40,1.5,0.7706159126937951,0.8647998156603428,0.7377770083195447,0.7092709141014981,440.62499999999983,464.06249999999983,23.4375,False,False,0.24926619231700897,22.28871008263068,0.9902457991213532,fixed_baseline,2.5,1.65
VisualCogB_Task-2,Task2,Stage2,outward,40,2.5,0.914271632400019,0.9049228525783098,0.9062594939625757,0.9316325506591715,495.31249999999983,464.06249999999983,31.25,True,False,0.19714888464659447,22.28871008263068,0.9902457984983063,unconstrained_fullcurve,2.5,1.65
VisualCogB_Task-2,Task2,Stage2,outward,40,1.65,0.8197641143343027,0.8971135399911553,0.7907697842113781,0.7714090188003749,479.68749999999983,464.06249999999983,15.625,False,False,0.2458525924012065,22.28871008263068,0.9902457985388151,boundary_constrained_fullcurve,2.5,1.65
