方向(°),区域,行,列,左提示平均响应,右提示平均响应,左提示-右提示,绝对差
45,R4C3,4,3,5.728605145804977e-09,5.164759286913068e-09,5.638458588919093e-10,5.638458588919093e-10
45,R4C4,4,4,5.856994889086309e-09,5.393432367384321e-09,4.6356252170198786e-10,4.6356252170198786e-10
90,R1C1,1,1,4.044821722004599e-08,3.3535023646891204e-08,6.9131935731547856e-09,6.9131935731547856e-09
90,R1C2,1,2,0.09348899871110916,0.07811163365840912,0.015377365052700043,0.015377365052700043
90,R1C3,1,3,0.07811164855957031,0.09348898380994797,-0.015377335250377655,0.015377335250377655
90,R1C4,1,4,2.8386924810774872e-08,3.834517059431164e-08,-9.958245783536768e-09,9.958245783536768e-09
90,R2C1,2,1,3.041055052221964e-08,3.3650383812755535e-08,-3.2398332905358984e-09,3.2398332905358984e-09
90,R2C2,2,2,0.042187709361314774,0.07351083308458328,-0.03132312372326851,0.03132312372326851
90,R2C3,2,3,0.07351084053516388,0.04218769818544388,0.03132314234972,0.03132314234972
90,R2C4,2,4,2.6028166288938337e-08,3.091591693760165e-08,-4.887750648663314e-09,4.887750648663314e-09
90,R3C1,3,1,2.0584536741807824e-08,1.8128753609403248e-08,2.4557831324045765e-09,2.4557831324045765e-09
90,R3C2,3,2,2.578994084956321e-08,2.98763964678983e-08,-4.086455618335094e-09,4.086455618335094e-09
90,R3C3,3,3,2.3296212958712204e-08,2.4046372004704608e-08,-7.501590459924046e-10,7.501590459924046e-10
90,R3C4,3,4,2.02011740668695e-08,1.534936089342409e-08,4.851813173445407e-09,4.851813173445407e-09
90,R4C1,4,1,1.529338788941459e-08,2.197936765924169e-08,-6.6859797698270995e-09,6.6859797698270995e-09
90,R4C2,4,2,2.5965528394067405e-08,3.2041572950447517e-08,-6.076044556380111e-09,6.076044556380111e-09
90,R4C3,4,3,2.1689478657549444e-08,1.9972683062974284e-08,1.71679559457516e-09,1.71679559457516e-09
90,R4C4,4,4,1.5347431769896502e-08,1.9797729677861753e-08,-4.4502979079652505e-09,4.4502979079652505e-09
135,R1C1,1,1,1.3855882663449393e-08,1.8225341236188797e-08,-4.369458572739404e-09,4.369458572739404e-09
135,R1C2,1,2,0.0502607524394989,0.14419305324554443,-0.09393230080604553,0.09393230080604553
135,R1C3,1,3,0.06217470392584801,0.09466975927352905,-0.032495055347681046,0.032495055347681046
135,R1C4,1,4,1.4055781427657621e-08,1.3614749327928166e-08,4.410320997294548e-10,4.410320997294548e-10
135,R2C1,2,1,1.5783795603852013e-08,7.77436071075499e-09,8.009434893097023e-09,8.009434893097023e-09
135,R2C2,2,2,0.057848911732435226,0.048877112567424774,0.008971799165010452,0.008971799165010452
135,R2C3,2,3,0.1308954507112503,0.013439902104437351,0.11745554860681295,0.11745554860681295
135,R2C4,2,4,1.3650847563440038e-08,8.20033285720001e-09,5.450514706240028e-09,5.450514706240028e-09
135,R3C1,3,1,5.710579564777163e-09,6.28823482173857e-09,-5.776552569614068e-10,5.776552569614068e-10
135,R3C2,3,2,5.798596713901816e-09,6.585797240887814e-09,-7.872005269859983e-10,7.872005269859983e-10
135,R3C3,3,3,7.322592310288201e-09,4.782982010453907e-09,2.539610299834294e-09,2.539610299834294e-09
135,R3C4,3,4,5.968989746918396e-09,6.014629239103897e-09,-4.5639492185500785e-11,4.5639492185500785e-11
135,R4C1,4,1,7.317932482209244e-09,5.976450889733087e-09,1.341481592476157e-09,1.341481592476157e-09
135,R4C2,4,2,6.06751937581862e-09,6.820660480855167e-09,-7.531411050365477e-10,7.531411050365477e-10
135,R4C3,4,3,5.61284885236546e-09,6.044745148869879e-09,-4.318962965044193e-10,4.318962965044193e-10
135,R4C4,4,4,5.5008739785478156e-09,5.957335957873511e-09,-4.564619793256952e-10,4.564619793256952e-10
