Trial,CueType,ClippedDrop,SQI,RiemannDrop,FinalDrop,RP1_All_1_7_Riemann,RP2_F3F4_16_24_Trace,RP3_All_1_24_Riemann
51,-1.0,0,1.0,0,0,1.8795862402032626,9.19012872769893,3.2959802512913035
52,1.0,0,0.6823365598086757,0,0,2.163310711622405,8.360302765754899,4.798148182662921
53,-1.0,1,,0,1,,,
54,1.0,0,0.4217537444050194,0,0,2.9264625222481047,5.95158969384814,5.44543299796321
55,-1.0,0,1.0,0,0,1.5784433228815948,6.81900757957607,1.7566222621244612
56,1.0,0,0.7283520123575757,0,0,2.1028473243194337,15.443337857485012,3.272608093849887
57,1.0,0,0.15601700494567328,1,1,2.6934336706040143,29.454997658543185,4.3890300319548485
58,1.0,0,0.6949666123551734,0,0,2.3036686414904293,8.634940561938045,4.505400997949712
59,1.0,0,0.8085855098881662,0,0,1.6461096188155404,10.163288916143737,4.288770257483128
60,-1.0,0,0.7512186499949329,0,0,1.6359079591941743,11.389485510125034,4.5724496091751075
61,-1.0,0,0.22366088258800024,0,0,3.4512029585730475,15.02593217624744,6.009635389234904
62,1.0,1,,0,1,,,
63,-1.0,0,0.7524427379064758,0,0,1.1852901917976975,15.182543019431627,1.2230862044448643
64,-1.0,0,0.7732768355080992,0,0,1.9983492982179218,14.821505837101133,2.228496765931962
65,-1.0,0,0.15940652150445908,1,1,2.6194774326506183,26.995929270702977,5.140287947243774
66,1.0,0,1.0,0,0,1.144433653762975,7.1216703707509055,2.505070246476107
67,1.0,0,0.7909443046538797,0,0,2.3217162262864353,13.166195822690359,2.0117756111741887
68,-1.0,0,0.5373065937395416,0,0,3.022376339470549,10.122604101196965,4.360249191735762
69,-1.0,0,0.9160377249519374,0,0,1.5045412995132563,12.581955908697385,3.0454871059953104
70,1.0,1,,0,1,,,
71,1.0,0,0.784126092402293,0,0,2.2162441845444154,11.455893133217032,4.1687160741226545
72,-1.0,0,0.9487364171905388,0,0,2.1998598853217026,8.34887092786093,2.665580222869317
73,-1.0,0,0.8630894447074104,0,0,2.4304043780817084,7.849636490795149,2.4655587701076302
74,1.0,0,0.6979541325012368,0,0,1.973050321096254,9.20436108649661,4.855950418830687
75,-1.0,0,0.3423420532346752,0,0,3.9331844445446364,5.788788194667169,4.6569739198336455
76,-1.0,0,0.7556543254952985,0,0,1.9659444392722956,15.126242021623732,2.706653219417429
77,-1.0,1,,0,1,,,
78,1.0,0,1.0,0,0,1.7364397693949103,10.075567928852712,2.3980207904486925
79,-1.0,0,0.958369560728608,0,0,1.3587353329472318,11.9847804522711,1.6608343492441824
80,-1.0,0,0.7666586709678445,0,0,1.45483500541976,14.935127897437631,3.0736373613258836
81,1.0,0,0.5919107675691546,0,0,3.207672211662086,12.191778592518585,1.7155575291891594
82,-1.0,0,0.473710433693038,0,0,1.9985507804040634,20.712549672360375,3.6408366117870647
83,-1.0,0,0.9057286712959502,0,0,2.0256371701498526,7.734720734874189,3.8514212967954458
84,1.0,1,,0,1,,,
85,-1.0,0,1.0,0,0,1.4050296939230782,10.676486867745464,3.249951293169603
86,-1.0,0,0.7983788036550197,0,0,2.3121048763630196,7.3686672973007346,3.9573084591379577
87,1.0,1,,0,1,,,
88,-1.0,0,0.33288044682624074,0,0,4.019943586916674,9.586072153111996,4.627761948554505
89,-1.0,0,1.0,0,0,1.3532793973606778,8.066519947981774,2.6408750176399933
90,1.0,0,0.8103432710807397,0,0,2.0716293499618135,7.079353674324732,4.280399339422843
91,1.0,1,,0,1,,,
92,-1.0,0,0.3645415529782661,0,0,1.1245921535734709,24.762065200917217,2.708650703111081
93,1.0,0,0.7439846164968335,0,0,1.7271911943774376,9.804989311000906,4.609750951369403
94,-1.0,0,0.9927718043889464,0,0,1.9905364903287965,9.63880923544892,3.497693507077581
95,1.0,0,1.0,0,0,1.1851494070189976,10.45583861559548,2.6030349813176312
96,-1.0,1,,0,1,,,
97,1.0,0,0.9110990559669143,0,0,1.8261691829280573,12.653416215196502,3.4697284941795923
98,1.0,0,0.5866094413842226,0,0,1.1597007326686632,18.473592318684204,1.7298322237749932
99,1.0,0,0.7480570714749897,0,0,1.28069660413149,13.140625139445726,4.087724743743138
