condition,correct,heldout_record,predicted_label,score_right_minus_left,trial_index,true_label
left,False,VisualCogB_Task-1,right,0.6018518584747796,22,left
left,False,VisualCogB_Task-1,right,0.07753129140346463,23,left
left,True,VisualCogB_Task-1,left,-0.03524153339899329,24,left
left,True,VisualCogB_Task-1,left,-0.03938399277759508,25,left
left,True,VisualCogB_Task-1,left,-0.05346782587484403,26,left
left,False,VisualCogB_Task-1,right,0.09548959983536881,27,left
left,False,VisualCogB_Task-1,right,0.16800632681332314,28,left
left,False,VisualCogB_Task-1,right,0.09119800283744486,29,left
left,False,VisualCogB_Task-1,right,0.07038769531346008,30,left
left,True,VisualCogB_Task-1,left,-0.04071340365017994,31,left
left,True,VisualCogB_Task-1,left,-0.04807140877068278,32,left
left,True,VisualCogB_Task-1,left,-0.09569056807962673,33,left
left,True,VisualCogB_Task-1,left,-0.04138804902159584,34,left
left,False,VisualCogB_Task-1,right,0.04426401056068732,35,left
left,True,VisualCogB_Task-1,left,-0.08432514725400725,36,left
left,False,VisualCogB_Task-1,right,0.05117972310706187,37,left
left,False,VisualCogB_Task-1,right,0.23980104275627542,38,left
left,True,VisualCogB_Task-1,left,-0.03421791379785387,39,left
left,False,VisualCogB_Task-1,right,0.04281198313377867,40,left
right,False,VisualCogB_Task-1,left,-0.07308084312082071,0,right
right,False,VisualCogB_Task-1,left,-0.32089629258655994,1,right
right,False,VisualCogB_Task-1,left,-0.0237522038938177,2,right
right,True,VisualCogB_Task-1,right,0.04149788362002289,3,right
right,True,VisualCogB_Task-1,right,0.02640701586140318,4,right
right,True,VisualCogB_Task-1,right,0.09136144464354899,5,right
right,False,VisualCogB_Task-1,left,-0.022960298930165,6,right
right,True,VisualCogB_Task-1,right,0.00460152119293912,7,right
right,False,VisualCogB_Task-1,left,-0.12686139199552954,8,right
right,False,VisualCogB_Task-1,left,-0.0001602295528810322,9,right
right,False,VisualCogB_Task-1,left,-0.26038217903549843,10,right
right,False,VisualCogB_Task-1,left,-0.07904904734413261,11,right
right,True,VisualCogB_Task-1,right,0.18677722231386895,12,right
right,False,VisualCogB_Task-1,left,-0.010353752643648961,13,right
right,False,VisualCogB_Task-1,left,-0.21790603722512975,14,right
right,True,VisualCogB_Task-1,right,0.04129214170535249,15,right
right,False,VisualCogB_Task-1,left,-0.00032307015589052093,16,right
right,False,VisualCogB_Task-1,left,-0.4167021399947616,17,right
right,True,VisualCogB_Task-1,right,0.2607916093732746,18,right
right,False,VisualCogB_Task-1,left,-0.09889379531273336,19,right
right,False,VisualCogB_Task-1,left,-0.03898784947702341,20,right
right,False,VisualCogB_Task-1,left,-0.1206290525939244,21,right
right,False,VisualCogB_Task-1,left,-0.37714870803642886,22,right
right,True,VisualCogB_Task-1,right,0.14915921969648382,23,right
right,False,VisualCogB_Task-1,left,-0.19495832473870478,24,right
right,False,VisualCogB_Task-1,left,-0.057074269381426596,25,right
right,True,VisualCogB_Task-1,right,0.46226463688035363,26,right
right,False,VisualCogB_Task-1,left,-0.2526669465952811,27,right
right,False,VisualCogB_Task-1,left,-0.29772157373464886,28,right
right,False,VisualCogB_Task-1,left,-0.09511489166295801,29,right
right,False,VisualCogB_Task-1,left,-0.2557889239484567,30,right
right,False,VisualCogB_Task-1,left,-0.01052184466347015,31,right
right,True,VisualCogB_Task-1,right,0.04222527697891009,32,right
right,True,VisualCogB_Task-1,right,0.4602381789761847,33,right
right,False,VisualCogB_Task-1,left,-0.16582325146488716,34,right
right,True,VisualCogB_Task-1,right,0.03763510546673428,35,right
right,False,VisualCogB_Task-1,left,-0.015588325294925038,36,right
right,False,VisualCogB_Task-1,left,-0.12875862313491931,37,right
right,False,VisualCogB_Task-1,left,-0.013318533365881229,38,right
right,False,VisualCogB_Task-1,left,-0.09927412027848537,39,right
right,False,VisualCogB_Task-1,left,-0.038955761526985745,40,right
right,True,VisualCogB_Task-1,right,0.07659827556685972,41,right
left,False,VisualCogB_Task-2,right,0.22068553376048933,0,left
left,True,VisualCogB_Task-2,left,-0.06286752661940345,1,left
left,True,VisualCogB_Task-2,left,-0.003710487142776095,2,left
left,True,VisualCogB_Task-2,left,-0.05188771877273557,3,left
left,False,VisualCogB_Task-2,right,0.14145217584095265,4,left
left,True,VisualCogB_Task-2,left,-0.19377274244870707,5,left
left,True,VisualCogB_Task-2,left,-0.39661477264458733,6,left
left,True,VisualCogB_Task-2,left,-0.10178751847793371,7,left
left,True,VisualCogB_Task-2,left,-0.00541548276612297,8,left
left,True,VisualCogB_Task-2,left,-0.22009408489137283,9,left
left,True,VisualCogB_Task-2,left,-0.09251265257921212,10,left
left,False,VisualCogB_Task-2,right,0.4655605200296493,11,left
left,True,VisualCogB_Task-2,left,-0.10762070714187033,12,left
left,False,VisualCogB_Task-2,right,0.3443187365813811,13,left
left,True,VisualCogB_Task-2,left,-0.042080304004605364,14,left
left,True,VisualCogB_Task-2,left,-0.17378451209168178,15,left
left,True,VisualCogB_Task-2,left,-0.34783114362239675,16,left
left,True,VisualCogB_Task-2,left,-0.07444511283229949,17,left
left,True,VisualCogB_Task-2,left,-0.18718688731039315,18,left
left,True,VisualCogB_Task-2,left,-0.059472329798970075,19,left
left,True,VisualCogB_Task-2,left,-0.13990882128736198,20,left
left,True,VisualCogB_Task-2,left,-0.17330869656207126,21,left
left,True,VisualCogB_Task-2,left,-0.1314573068965077,22,left
