F3_late_mean,F3_late_peak_amplitude,F3_late_peak_status,F3_late_peak_time_ms,F3_late_rms,F4_late_mean,F4_late_peak_amplitude,F4_late_peak_status,F4_late_peak_time_ms,F4_late_rms,Fz_late_mean,Fz_late_peak_amplitude,Fz_late_peak_status,Fz_late_peak_time_ms,Fz_late_rms,amplitude,balanced_accuracy,boundary_flags,channel_corr_mean,channel_correlations,condition,confusion_matrix,difference_rmse,fit_observation_space,fit_status,fit_success,full_sensor_nrmse_by_real_rms,full_sensor_rmse,heldout_record,method,model_F4_minus_F3_rms,model_difference_rms,model_observable_difference_rms,n_ties,n_trials,nrmse_by_real_rms,observable_corr_mean,observable_difference_corr,observable_difference_retained_fraction,observable_mode_correlations,observable_nrmse_by_real_rms,observable_rmse,observed_last_ms,param_g_i,param_tau_a,param_tau_s,real_F4_minus_F3_rms,real_difference_rms,real_difference_u2_rms,real_observable_difference_rms,real_u2_late_rms,real_u2_rms,recall_left,recall_right,rmse,roc_auc,role,stage,status,task,train_records,training_loss,u2_energy_share,u2_unexplained_rms
,24.05159395702637,internal_positive_peak,687.5,,,30.94310617586762,internal_positive_peak,679.6875,,,30.893519714900787,internal_positive_peak,671.875,,10263.437857441148,,,-0.5566140704259623,"[-0.5858453537532895, -0.5421707043331129, -0.5418261531914845]",right,,,u0/u1_observable_subspace,,,1.1182377223295825,14.476777594027537,VisualCogB_Task-1,revision_default,,,,,42,1.1182377223295825,-0.14693907399181633,,,"[-0.5611424848701898, 0.26726433688655715]",1.1301560843541696,17.031356784050434,,1.0,80.0,40.0,,,,,6.669800921897374,6.971157791955574,,,14.476777594027537,,,Stage1,,Task2,,,0.09665248927763985,6.9711577739692485
,,,,,,,,,,,,,,,141.88769043515202,,,0.45621865062793066,"[0.42781828701166397, 0.5391316917149865, 0.40170597315714146]",right,,,u0/u1_observable_subspace,,,1.8183603620120032,23.540610391682527,VisualCogB_Task-1,old_04_baseline,,,,,42,1.8183603620120032,0.2659574931383862,,,"[0.4530048850297904, 0.07891010124698196]",1.8849955773249536,28.406724219977402,,,,,,,,,6.669800921897374,6.971157791955574,,,23.540610391682527,,,Stage1,,Task2,,,0.09665248927763985,6.971158513423186
-5.058500685611564,,,,5.546936589457415,-0.9644779061693656,,,,3.0431656481854867,3.547400033517464,,,,4.213648853922987,,,,,,target_unknown,,,,,,,,VisualCogB_Task-1,descriptive_erp_only,,,,,83,,,,,,,,792.1874999999998,,,,,,,,,,,,,,description_only,Stage2,,Task2,,,,
,,,,,,,,,,,,,,,,,,,,right_minus_left,,15.969179856501691,u0/u1_observable_subspace,,,,,VisualCogB_Task-1,fitted_lateral_effect,2.900176146941027,3.1505009614353385,3.858559894832177,,41,,,-0.3451516433175354,0.27504595686748656,,,,,,,,16.230032173700177,14.519325918548336,15.453769795175331,14.028782457947216,,,,,,,,Stage1,,Task2,,,,
,-0.013922695699083316,no_positive_peak,656.25,,,58.20098621638772,internal_positive_peak,664.0625,,,77.33228561704858,internal_positive_peak,664.0625,,7818.590984263139,,"{""tau_s"": false, ""g_i"": true, ""tau_a"": true}",-0.5329700146974397,"[-0.2831864081799735, -0.6637676598865153, -0.6519559760258302]",left,,,u0/u1_observable_subspace,profile_grid_converged,True,1.0954637849267603,32.14865982373943,VisualCogB_Task-2,revision_fitted,,,,,37,1.0954637849267603,-0.634778541173417,,,"[-0.6479556465565329, -0.6216014357903011]",1.1357221897813121,33.91128009292044,,0.5,160.0,94.46669803409696,,,,,35.239412425278424,28.295921065610404,,,32.14865982373943,,,Stage1,,Task2,"[""VisualCogA_Task-1"", ""VisualCogA_Task-2"", ""VisualCogB_Task-1""]",2138.848167196071,0.3098822629684619,28.295921089558984
,-0.013922695699083316,no_positive_peak,656.25,,,58.20098621638772,internal_positive_peak,664.0625,,,77.33228561704858,internal_positive_peak,664.0625,,8528.755581418933,,,-0.3491215562093932,"[0.12589142765358619, -0.6582874799127424, -0.5149686163690235]",left,,,u0/u1_observable_subspace,,,1.0262745098696473,30.118156855162535,VisualCogB_Task-2,revision_default,,,,,37,1.0262745098696473,-0.5992122848724987,,,"[-0.500607690536578, -0.6978168792084193]",1.0378561283825842,30.98911880247119,,1.0,80.0,40.0,,,,,35.239412425278424,28.295921065610404,,,30.118156855162535,,,Stage1,,Task2,,,0.3098822629684619,28.295921062039582
,,,,,,,,,,,,,,,111.77186170514001,,,0.17374734524747973,"[-0.438307372339161, 0.6010063724120694, 0.3585430356695308]",left,,,u0/u1_observable_subspace,,,1.1196610554528343,32.85877898012738,VisualCogB_Task-2,old_04_baseline,,,,,37,1.1196610554528343,0.1339837879567644,,,"[0.34151169267589876, -0.07354411676236997]",1.1694155544442402,34.917322888102134,,,,,,,,,35.239412425278424,28.295921065610404,,,32.85877898012738,,,Stage1,,Task2,,,0.3098822629684619,28.295921841329363
,89.37958429161473,truncated_at_window_edge,695.3125,,,149.13093082234658,truncated_at_window_edge,695.3125,,,108.36242640774934,internal_positive_peak,679.6875,,7818.590984263139,,"{""tau_s"": false, ""g_i"": true, ""tau_a"": true}",-0.599779008987477,"[-0.5976760279086923, -0.6050311869284725, -0.5966298121252664]",right,,,u0/u1_observable_subspace,profile_grid_converged,True,0.9330620794894976,56.13775399606962,VisualCogB_Task-2,revision_fitted,,,,,43,0.9330620794894976,-0.06600871027726846,,,"[-0.5988094899254919, 0.46679206937095497]",0.9329162484478443,68.67151041235847,,0.5,160.0,94.46669803409696,,,,,6.746356482953079,4.773844008552673,,,56.13775399606962,,,Stage1,,Task2,"[""VisualCogA_Task-1"", ""VisualCogA_Task-2"", ""VisualCogB_Task-1""]",2138.848167196071,0.0020985832686655666,4.773844000423054
,89.37958429161473,truncated_at_window_edge,695.3125,,,149.13093082234658,truncated_at_window_edge,695.3125,,,108.36242640774934,internal_positive_peak,679.6875,,8528.755581418933,,,-0.7398886778517163,"[-0.7435052501894244, -0.7353402823462892, -0.7408205010194358]",right,,,u0/u1_observable_subspace,,,0.9933901873508314,59.767399389033024,VisualCogB_Task-2,revision_default,,,,,43,0.9933901873508314,-0.0011942962216437425,,,"[-0.7402289184821699, 0.7378403260388824]",0.9933762405923914,73.12194097029241,,1.0,80.0,40.0,,,,,6.746356482953079,4.773844008552673,,,59.767399389033024,,,Stage1,,Task2,,,0.0020985832686655666,4.773844012816235
,,,,,,,,,,,,,,,111.77186170514001,,,0.6726338172379952,"[0.6720788266249015, 0.6611032445792656, 0.6847193805098183]",right,,,u0/u1_observable_subspace,,,0.7472349427970987,44.95744958252035,VisualCogB_Task-2,old_04_baseline,,,,,43,0.7472349427970987,0.3884343835714157,,,"[0.6741753009657421, 0.10269346617708935]",0.7466132152081537,54.957834926205095,,,,,,,,,6.746356482953079,4.773844008552673,,,44.95744958252035,,,Stage1,,Task2,,,0.0020985832686655666,4.7738432465424205
9.205064057255239,,,,9.910033012376314,16.31391810406648,,,,17.167200554352323,12.385916445305476,,,,13.398566902386728,,,,,,target_unknown,,,,,,,,VisualCogB_Task-2,descriptive_erp_only,,,,,80,,,,,,,,792.1874999999998,,,,,,,,,,,,,,description_only,Stage2,,Task2,,,,
,,,,,,,,,,,,,,,,,,,,right_minus_left,,48.308873978849604,u0/u1_observable_subspace,,,,,VisualCogB_Task-2,fitted_lateral_effect,2.26161221121224,2.4275306377873367,2.97310569877598,,37,,,0.7868697555336908,0.05236112987595967,,,,,,,,3.5206180736062946,50.10169981403533,32.90026504206783,56.78077814247007,,,,,,,,Stage1,,Task2,,,,
,,,,,,,,,,,,,,,,0.3351724137931035,,,,,"[[9, 20], [16, 9]]",,,,,,,VisualCogA_Task-1,real_only_shrinkage_LDA,,,,0,54,,,,,,,,,,,,,,,,,,0.3103448275862069,0.36,,0.2910344827586207,,,complete,,,,,
,,,,,,,,,,,,,,,,0.5222222222222223,,,,,"[[11, 34], [7, 28]]",,,,,,,VisualCogA_Task-2,real_only_shrinkage_LDA,,,,0,80,,,,,,,,,,,,,,,,,,0.24444444444444444,0.8,,0.5003174603174603,,,complete,,,,,
,,,,,,,,,,,,,,,,0.42305458768873405,,,,,"[[22, 19], [29, 13]]",,,,,,,VisualCogB_Task-1,real_only_shrinkage_LDA,,,,0,83,,,,,,,,,,,,,,,,,,0.5365853658536586,0.30952380952380953,,0.38501742160278746,,,complete,,,,,
,,,,,,,,,,,,,,,,0.5314267756128221,,,,,"[[29, 8], [31, 12]]",,,,,,,VisualCogB_Task-2,real_only_shrinkage_LDA,,,,0,80,,,,,,,,,,,,,,,,,,0.7837837837837838,0.27906976744186046,,0.5059710873664363,,,complete,,,,,
,,,,,,,,,,,,,,,,0.45296899982922045,,,,,,,,,,,,FOUR_RECORD_MEAN,real_only_shrinkage_LDA,,,,,,,,,,,,,,,,,,,,,,,0.4687896054170234,0.43714839424141755,,0.4205851130113262,,,,,,,,
