sample,stage,outer_held_out_record,candidate_order,name,representation,l2,edge_components,shrinkage,inner_mean_balanced_accuracy,inner_held_out_record,n_train,n_validation,accuracy,balanced_accuracy,auc,macro_f1
raw_qc_pass,cue_locked,VisualCogA_Task-1,25,csp_e1_shrink0.1_l2_10,csp,10.0,1,0.1,0.46314078248244145,VisualCogA_Task-2,191,96,0.4791666666666667,0.5026455026455027,0.46913580246913583,0.47089947089947093
raw_qc_pass,cue_locked,VisualCogA_Task-1,25,csp_e1_shrink0.1_l2_10,csp,10.0,1,0.1,0.46314078248244145,VisualCogB_Task-1,189,98,0.47959183673469385,0.47951505016722407,0.4531772575250836,0.4791036998436686
raw_qc_pass,cue_locked,VisualCogA_Task-1,25,csp_e1_shrink0.1_l2_10,csp,10.0,1,0.1,0.46314078248244145,VisualCogB_Task-2,194,93,0.40860215053763443,0.40726179463459755,0.39084181313598526,0.3985890652557319
raw_qc_pass,cue_locked,VisualCogA_Task-1,26,csp_e2_shrink0.01_l2_0.1,csp,0.1,2,0.01,0.44182339884621724,VisualCogA_Task-2,191,96,0.3854166666666667,0.40608465608465605,0.4250440917107583,0.377240241891149
raw_qc_pass,cue_locked,VisualCogA_Task-1,26,csp_e2_shrink0.01_l2_0.1,csp,0.1,2,0.01,0.44182339884621724,VisualCogB_Task-1,189,98,0.47959183673469385,0.47951505016722407,0.4460702341137124,0.4791036998436686
raw_qc_pass,cue_locked,VisualCogA_Task-1,26,csp_e2_shrink0.01_l2_0.1,csp,0.1,2,0.01,0.44182339884621724,VisualCogB_Task-2,194,93,0.44086021505376344,0.4398704902867715,0.43200740055504167,0.43557422969187676
raw_qc_pass,cue_locked,VisualCogA_Task-1,27,csp_e2_shrink0.01_l2_1,csp,1.0,2,0.01,0.44182339884621724,VisualCogA_Task-2,191,96,0.3854166666666667,0.40608465608465605,0.42592592592592593,0.377240241891149
raw_qc_pass,cue_locked,VisualCogA_Task-1,27,csp_e2_shrink0.01_l2_1,csp,1.0,2,0.01,0.44182339884621724,VisualCogB_Task-1,189,98,0.47959183673469385,0.47951505016722407,0.44774247491638797,0.4791036998436686
raw_qc_pass,cue_locked,VisualCogA_Task-1,27,csp_e2_shrink0.01_l2_1,csp,1.0,2,0.01,0.44182339884621724,VisualCogB_Task-2,194,93,0.44086021505376344,0.4398704902867715,0.43061979648473636,0.43557422969187676
raw_qc_pass,cue_locked,VisualCogA_Task-1,28,csp_e2_shrink0.01_l2_10,csp,10.0,2,0.01,0.44826912503446575,VisualCogA_Task-2,191,96,0.3958333333333333,0.41534391534391535,0.4343033509700176,0.38920579201404126
raw_qc_pass,cue_locked,VisualCogA_Task-1,28,csp_e2_shrink0.01_l2_10,csp,10.0,2,0.01,0.44826912503446575,VisualCogB_Task-1,189,98,0.5,0.5,0.45317725752508364,0.49953100573215214
raw_qc_pass,cue_locked,VisualCogA_Task-1,28,csp_e2_shrink0.01_l2_10,csp,10.0,2,0.01,0.44826912503446575,VisualCogB_Task-2,194,93,0.43010752688172044,0.42946345975948197,0.41951896392229415,0.42772553117380707
raw_qc_pass,cue_locked,VisualCogA_Task-1,29,csp_e2_shrink0.1_l2_0.1,csp,0.1,2,0.1,0.43875443944824144,VisualCogA_Task-2,191,96,0.40625,0.4246031746031746,0.43253968253968256,0.4009852216748768
raw_qc_pass,cue_locked,VisualCogA_Task-1,29,csp_e2_shrink0.1_l2_0.1,csp,0.1,2,0.1,0.43875443944824144,VisualCogB_Task-1,189,98,0.41836734693877553,0.4205685618729097,0.4381270903010033,0.41830677913152137
raw_qc_pass,cue_locked,VisualCogA_Task-1,29,csp_e2_shrink0.1_l2_0.1,csp,0.1,2,0.1,0.43875443944824144,VisualCogB_Task-2,194,93,0.4731182795698925,0.4710915818686401,0.4259944495837188,0.4526126126126126
raw_qc_pass,cue_locked,VisualCogA_Task-1,30,csp_e2_shrink0.1_l2_1,csp,1.0,2,0.1,0.4356264003581303,VisualCogA_Task-2,191,96,0.40625,0.4246031746031746,0.4320987654320988,0.4009852216748768
