sample,stage,name,representation,l2,edge_components,shrinkage,mean_accuracy,mean_balanced_accuracy,sd_balanced_accuracy,mean_auc,mean_macro_f1,valid_record_folds
q1_quality_matched,cue_locked,csp_e2_shrink0.1_l2_1,csp,1.0,2,0.1,0.43505968317715304,0.4385084212783374,0.034624705823135773,0.4472276088723367,0.41941767845322436,4
q1_quality_matched,cue_locked,csp_e2_shrink0.1_l2_10,csp,10.0,2,0.1,0.4398022646140116,0.44600071801164176,0.02846389301591209,0.4506235263677515,0.4232933917149057,4
q1_quality_matched,cue_locked,logistic_baseline_13_l2_0.1,baseline_13,0.1,0,0.0,0.487611557340473,0.48567729964623974,0.018967193076051124,0.4877549511488526,0.48311092328900773,4
q1_quality_matched,cue_locked,logistic_baseline_13_l2_10,baseline_13,10.0,0,0.0,0.5085801539491299,0.5071494872581872,0.06015245400273253,0.4725425202088217,0.5009692094670428,4
q1_quality_matched,cue_locked,logistic_baseline_13_l2_100,baseline_13,100.0,0,0.0,0.4407393462739848,0.4440871420137757,0.053276292051842415,0.4848834372346411,0.42079112970186183,4
q1_quality_matched,cue_locked,logistic_erp_100ms_l2_0.1,erp_100ms,0.1,0,0.0,0.5234995537706381,0.5285698378077649,0.07082315191081985,0.5132658320327262,0.52169820937283,4
q1_quality_matched,cue_locked,logistic_erp_100ms_l2_1,erp_100ms,1.0,0,0.0,0.4783606648817492,0.48546162858957465,0.07465724199454411,0.4900396537379932,0.4739776040127703,4
q1_quality_matched,cue_locked,logistic_erp_100ms_l2_10,erp_100ms,10.0,0,0.0,0.4259161646586345,0.43582111306811566,0.07620816472851985,0.4482527758682237,0.41474838495728295,4
q1_quality_matched,cue_locked,logistic_erp_100ms_l2_100,erp_100ms,100.0,0,0.0,0.44432452030343594,0.46144803174205445,0.06147909737910831,0.4502345894452805,0.3958448892377464,4
q1_quality_matched,cue_locked,logistic_erp_50ms_l2_0.1,erp_50ms,0.1,0,0.0,0.48299308344489067,0.48703692071149574,0.0861768971929858,0.47866416640313014,0.4778014497620476,4
q1_quality_matched,cue_locked,logistic_erp_50ms_l2_1,erp_50ms,1.0,0,0.0,0.49873382418563145,0.5027647340527521,0.12369160831835233,0.49444643899814356,0.49593758415218486,4
q1_quality_matched,cue_locked,logistic_erp_50ms_l2_10,erp_50ms,10.0,0,0.0,0.48020972780008925,0.48655101823432645,0.11729921542539425,0.4790632515893141,0.4773064173771721,4
q1_quality_matched,cue_locked,logistic_erp_50ms_l2_100,erp_50ms,100.0,0,0.0,0.47568468317715307,0.4880961684128797,0.07656385103586594,0.48428171334717773,0.4603282022075683,4
q1_quality_matched,cue_locked,logistic_spatial_100ms_l2_0.1,spatial_100ms,0.1,0,0.0,0.5234995537706381,0.5285698378077649,0.07082315191081985,0.5132658320327262,0.52169820937283,4
q1_quality_matched,cue_locked,logistic_spatial_100ms_l2_1,spatial_100ms,1.0,0,0.0,0.4783606648817492,0.48546162858957465,0.07465724199454411,0.4900396537379932,0.4739776040127703,4
q1_quality_matched,cue_locked,logistic_spatial_100ms_l2_10,spatial_100ms,10.0,0,0.0,0.4259161646586345,0.43582111306811566,0.07620816472851985,0.4482527758682237,0.41474838495728295,4
q1_quality_matched,cue_locked,logistic_spatial_100ms_l2_100,spatial_100ms,100.0,0,0.0,0.44432452030343594,0.46144803174205445,0.06147909737910831,0.4502345894452805,0.3958448892377464,4
q1_quality_matched,cue_locked,logistic_wave64_l2_0.1,wave64,0.1,0,0.0,0.4690986166889781,0.47014784945526045,0.06729960179534607,0.47838628678106837,0.4658672084403301,4
q1_quality_matched,cue_locked,logistic_wave64_l2_1,wave64,1.0,0,0.0,0.4891273427041499,0.4932447020813246,0.06768983819561485,0.4859203640882597,0.48396031875957096,4
q1_quality_matched,cue_locked,logistic_wave64_l2_10,wave64,10.0,0,0.0,0.4891273427041499,0.49421493850782683,0.07046661737014505,0.4815645725862441,0.48489479320862094,4
q1_quality_matched,cue_locked,logistic_wave64_l2_100,wave64,100.0,0,0.0,0.4847236166889781,0.49282459203948825,0.08744296616956243,0.47160520016955954,0.47807613713148045,4
