记录,条件,时间_ms,电极,实测,共享模型,逐电极增益,逐电极曲线拟合
VisualCogB_Task-2,left,289.0625,F4,-10.921726009460494,-0.24525378922880847,-0.3083924380742799,-0.46431869733263936
VisualCogB_Task-2,left,296.875,F3,-22.974663301061142,1.8767927732313403,1.769831573539244,1.8535461784968348
VisualCogB_Task-2,left,296.875,Fz,6.446203499856213,0.014877390894984188,0.012747346421422901,0.46534270363036206
VisualCogB_Task-2,left,296.875,F4,-11.212525507519473,-0.40662504227145213,-0.5112955848736066,-0.6679731925392217
VisualCogB_Task-2,left,304.6875,F3,-23.770221029824633,1.5668048631142941,1.4775080155804972,1.5706949727567292
VisualCogB_Task-2,left,304.6875,Fz,6.244420932871532,-0.3506165105954473,-0.3006145869487967,0.17437003406076584
VisualCogB_Task-2,left,304.6875,F4,-12.01128609736633,-0.6805451199947807,-0.8557138866264691,-1.0134591646763145
VisualCogB_Task-2,left,312.5,F3,-25.18983134066052,1.2336287878151175,1.1633177096899536,1.2639093406831896
VisualCogB_Task-2,left,312.5,Fz,5.566152240355631,-0.7556746576447164,-0.6478975023086191,-0.15337342740514284
VisualCogB_Task-2,left,312.5,F4,-13.131779772251889,-0.9866474208619369,-1.240596967702354,-1.4004131941589453
VisualCogB_Task-2,left,320.3125,F3,-26.716962244464707,0.95004584952434,0.8958944692952223,1.0023662785924363
VisualCogB_Task-2,left,320.3125,Fz,5.11394499745415,-1.1223686271867166,-0.9622883287674912,-0.44910403256628806
VisualCogB_Task-2,left,320.3125,F4,-13.795863295805212,-1.2701508701555202,-1.5970650710775471,-1.7600254695365192
VisualCogB_Task-2,left,328.125,F3,-27.796482275312318,0.7487560978450247,0.7060749574073845,0.8173417735465837
VisualCogB_Task-2,left,328.125,Fz,5.358517421159955,-1.4142804656951,-1.2125635074264154,-0.680787435499021
VisualCogB_Task-2,left,328.125,F4,-13.832368874559089,-1.5056933120932996,-1.8932285612976554,-2.0602291470541148
VisualCogB_Task-2,left,335.9375,F3,-28.272652546336836,0.6582024606899601,0.620681263240519,0.7359148103007734
VisualCogB_Task-2,left,335.9375,Fz,6.041351783216461,-1.598238928728442,-1.3702832094649116,-0.8198446372235855
VisualCogB_Task-2,left,335.9375,F4,-13.767318894056643,-1.6681906637621378,-2.097547677017407,-2.2692016739899374
VisualCogB_Task-2,left,343.75,F3,-28.78500275241951,0.6824654590463677,0.6435614438222538,0.76237491554968
VisualCogB_Task-2,left,343.75,Fz,6.135955972324616,-1.6674025387256712,-1.4295817214902176,-0.8594782351245985
VisualCogB_Task-2,left,343.75,F4,-14.616305704397252,-1.7525238399699283,-2.2035857286948612,-2.380454522502946
VisualCogB_Task-2,left,351.5625,F3,-29.697526769047652,0.8263676258904553,0.77926320600083,0.9015823604631389
VisualCogB_Task-2,left,351.5625,Fz,5.237841787885324,-1.614210914442051,-1.383977105551525,-0.792620715548569
