sample,stage,outer_held_out_record,candidate_order,candidate,model,feature_set,scaler,selector_k,parameters,inner_mean_balanced_accuracy,inner_held_out_record,n_inner_train,n_inner_validation,accuracy,balanced_accuracy,auc,macro_f1
raw_qc_pass,cue_locked,VisualCogA_Task-1,11,logistic_erp_shape_10_l2_100,logistic,erp_shape_10,standard,,"{""l2"": 100.0}",0.4728492105534967,VisualCogA_Task-2,191,96,0.46875,0.5145502645502645,0.5211640211640212,0.41540298507462686
raw_qc_pass,cue_locked,VisualCogA_Task-1,11,logistic_erp_shape_10_l2_100,logistic,erp_shape_10,standard,,"{""l2"": 100.0}",0.4728492105534967,VisualCogB_Task-1,189,98,0.4897959183673469,0.5154682274247492,0.5229933110367893,0.3995098039215686
raw_qc_pass,cue_locked,VisualCogA_Task-1,11,logistic_erp_shape_10_l2_100,logistic,erp_shape_10,standard,,"{""l2"": 100.0}",0.4728492105534967,VisualCogB_Task-2,194,93,0.3870967741935484,0.3885291396854764,0.3885291396854764,0.3767195767195767
raw_qc_pass,cue_locked,VisualCogA_Task-1,12,logistic_static_no_gamma_19_l2_0.1,logistic,static_no_gamma_19,standard,,"{""l2"": 0.1}",0.4887356707430713,VisualCogA_Task-2,191,96,0.46875,0.4642857142857143,0.4642857142857143,0.464039408866995
raw_qc_pass,cue_locked,VisualCogA_Task-1,12,logistic_static_no_gamma_19_l2_0.1,logistic,static_no_gamma_19,standard,,"{""l2"": 0.1}",0.4887356707430713,VisualCogB_Task-1,189,98,0.5102040816326531,0.5058528428093645,0.5426421404682275,0.5050505050505051
raw_qc_pass,cue_locked,VisualCogA_Task-1,12,logistic_static_no_gamma_19_l2_0.1,logistic,static_no_gamma_19,standard,,"{""l2"": 0.1}",0.4887356707430713,VisualCogB_Task-2,194,93,0.4946236559139785,0.4960684551341351,0.4708603145235893,0.48606701940035274
raw_qc_pass,cue_locked,VisualCogA_Task-1,13,logistic_static_no_gamma_19_l2_1,logistic,static_no_gamma_19,standard,,"{""l2"": 1.0}",0.4872754485381683,VisualCogA_Task-2,191,96,0.4895833333333333,0.4801587301587302,0.4572310405643739,0.4800486349065989
raw_qc_pass,cue_locked,VisualCogA_Task-1,13,logistic_static_no_gamma_19_l2_1,logistic,static_no_gamma_19,standard,,"{""l2"": 1.0}",0.4872754485381683,VisualCogB_Task-1,189,98,0.5,0.4962374581939799,0.5271739130434783,0.49574713850677304
raw_qc_pass,cue_locked,VisualCogA_Task-1,13,logistic_static_no_gamma_19_l2_1,logistic,static_no_gamma_19,standard,,"{""l2"": 1.0}",0.4872754485381683,VisualCogB_Task-2,194,93,0.4838709677419355,0.4854301572617946,0.4676225716928769,0.47358490566037736
raw_qc_pass,cue_locked,VisualCogA_Task-1,14,logistic_static_no_gamma_19_l2_10,logistic,static_no_gamma_19,standard,,"{""l2"": 10.0}",0.4518347868255361,VisualCogA_Task-2,191,96,0.4583333333333333,0.4444444444444444,0.42901234567901236,0.44285714285714284
raw_qc_pass,cue_locked,VisualCogA_Task-1,14,logistic_static_no_gamma_19_l2_10,logistic,static_no_gamma_19,standard,,"{""l2"": 10.0}",0.4518347868255361,VisualCogB_Task-1,189,98,0.4489795918367347,0.4469063545150502,0.5196488294314381,0.4469063545150502
raw_qc_pass,cue_locked,VisualCogA_Task-1,14,logistic_static_no_gamma_19_l2_10,logistic,static_no_gamma_19,standard,,"{""l2"": 10.0}",0.4518347868255361,VisualCogB_Task-2,194,93,0.46236559139784944,0.4641535615171138,0.4398704902867715,0.448005698005698
raw_qc_pass,cue_locked,VisualCogA_Task-1,15,logistic_static_no_gamma_19_l2_100,logistic,static_no_gamma_19,standard,,"{""l2"": 100.0}",0.4648430651360038,VisualCogA_Task-2,191,96,0.4375,0.43386243386243384,0.41137566137566134,0.43356643356643354
raw_qc_pass,cue_locked,VisualCogA_Task-1,15,logistic_static_no_gamma_19_l2_100,logistic,static_no_gamma_19,standard,,"{""l2"": 100.0}",0.4648430651360038,VisualCogB_Task-1,189,98,0.47959183673469385,0.4958193979933111,0.5004180602006689,0.4492561983471074
raw_qc_pass,cue_locked,VisualCogA_Task-1,15,logistic_static_no_gamma_19_l2_100,logistic,static_no_gamma_19,standard,,"{""l2"": 100.0}",0.4648430651360038,VisualCogB_Task-2,194,93,0.46236559139784944,0.4648473635522664,0.4176688251618871,0.4334795321637427
raw_qc_pass,cue_locked,VisualCogA_Task-1,16,logistic_static_safe_22_l2_0.1,logistic,static_safe_22,standard,,"{""l2"": 0.1}",0.47348986282843825,VisualCogA_Task-2,191,96,0.4895833333333333,0.49603174603174605,0.4466490299823633,0.48952794357026586
raw_qc_pass,cue_locked,VisualCogA_Task-1,16,logistic_static_safe_22_l2_0.1,logistic,static_safe_22,standard,,"{""l2"": 0.1}",0.47348986282843825,VisualCogB_Task-1,189,98,0.45918367346938777,0.46028428093645485,0.5363712374581939,0.45912735603457255
