dataset,condition,channel,window,window_start_ms,window_end_ms,n_clipped_only,n_sqi_retained,valid_erp_rms,clean_erp_rms,clean_vs_clipped_only_rmse,clean_vs_clipped_only_nrmse,clean_vs_equal_n_random_mean_rmse,clean_outside_stratified_random_pointwise_95_pct,random_band_mean_width,bootstrap_repeats,bootstrap_blocks,interpretation
VisualCogA_Task-1,left,Fz,target_candidate_250_500ms,2450.0,2700.0,42,29,4.239306316560681,5.862963514296023,2.0411321570725915,0.48147786563546735,2.8807490224252974,0.1875,6.196110962959937,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,left,F4,target_candidate_250_500ms,2450.0,2700.0,42,29,6.097782716752232,6.468602372900926,1.940284293104583,0.3181950527318898,1.6909063007487706,0.0,16.723388824349968,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,right,F3,cue_onset_0_200ms,0.0,200.0,41,25,1.788853000375608,5.242055205368828,5.914660918045742,3.3063985228544954,3.9460375817613866,0.0,20.928346483982523,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,right,Fz,cue_onset_0_200ms,0.0,200.0,41,25,1.895327874903258,2.3803161509942683,1.746839923995604,0.9216557974618332,1.8065377743507869,0.0,5.722882163526419,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,right,F4,cue_onset_0_200ms,0.0,200.0,41,25,4.7102833814628156,4.383093897570836,1.0142735159187317,0.21533173989284293,2.161533718227845,0.0,18.742526229184406,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,right,F3,cue_offset_200_800ms,200.0,800.0,41,25,8.032000727187505,8.330446637492953,14.077922240971509,1.752729203985151,8.007088509771675,0.0,41.79895856597206,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,right,Fz,cue_offset_200_800ms,200.0,800.0,41,25,7.535653210292069,4.0562055485549084,4.789839512994494,0.6356236651724646,3.7644866801048695,0.03896103896103896,8.99744096147743,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,right,F4,cue_offset_200_800ms,200.0,800.0,41,25,10.82410517430789,7.521932571075307,5.526680087155997,0.5105900208983678,6.25060819259751,0.0,46.37391233134579,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,right,F3,cue_full_0_800ms,0.0,800.0,41,25,7.002567919386805,7.669113430266672,12.529588841812014,1.7892848717858911,7.2013944446385825,0.0,36.53064872003296,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-1,right,Fz,cue_full_0_800ms,0.0,800.0,41,25,6.584717742536022,3.7053875696552305,4.233379849493926,0.6429098429150727,3.379044163499956,0.02912621359223301,8.170853303742224,1000,5,descriptive_pointwise_interval_not_familywise_test
