dataset,channel,window,window_start_ms,window_end_ms,n_left_clipped_only,n_right_clipped_only,n_left_sqi_retained,n_right_sqi_retained,clipped_only_lr_difference_rms,clean_lr_difference_rms,clean_vs_clipped_only_difference_rmse,clean_vs_clipped_only_difference_nrmse,clean_vs_clipped_only_difference_correlation,clean_vs_equal_n_random_mean_rmse,clean_difference_outside_stratified_random_pointwise_95_pct,random_band_mean_width,bootstrap_repeats,interpretation
VisualCogA_Task-2,F4,cue_offset_200_800ms,200.0,800.0,48,37,45,35,3.3751884660539555,5.7840657256747585,4.227898503296496,1.252640717938774,0.8769002944711257,3.8417993323720117,0.0,30.72383724064022,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,F3,cue_full_0_800ms,0.0,800.0,48,37,45,35,20.80355973272524,14.814068615134746,7.655986490865719,0.36801329143792616,0.7398366751871843,6.792542159709979,0.0,33.217638564919966,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,Fz,cue_full_0_800ms,0.0,800.0,48,37,45,35,4.584653986779566,5.861399400680672,2.871078962862932,0.6262367827849286,0.9676979393242351,2.1660420892832115,0.0,15.265059090760145,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,F4,cue_full_0_800ms,0.0,800.0,48,37,45,35,3.2363437989883614,5.27500629882318,3.7539910056723556,1.1599481510109662,0.7711453532533503,3.420878343399794,0.0,26.346553275133797,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,F3,target_candidate_250_500ms,2450.0,2700.0,48,37,45,35,12.005266783739861,9.315927291190903,2.9756529663138527,0.24786229410112967,0.9968251784826364,4.007708851906559,0.0,22.93706615567207,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,Fz,target_candidate_250_500ms,2450.0,2700.0,48,37,45,35,6.108434358916352,5.695077737060657,0.47717556826550667,0.07811749136159311,0.9959758677579613,0.9800838192477886,0.0,10.35132513642311,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,F4,target_candidate_250_500ms,2450.0,2700.0,48,37,45,35,5.341425530771906,5.745768467259973,0.49103436889129426,0.09192946078953072,0.9988964750704581,0.9472255495863697,0.0,19.05633961111307,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,F3,cue_onset_0_200ms,0.0,200.0,42,43,41,42,5.122162874167954,1.6071867858342477,3.742596321096825,0.730667183578143,0.9125741885704214,3.890794161055312,0.9615384615384616,5.5706910137946775,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,Fz,cue_onset_0_200ms,0.0,200.0,42,43,41,42,8.266721409134782,2.9095376239023887,5.553983246711074,0.6718483630734049,0.8772670858994699,4.881013549511634,1.0,5.451993535000544,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,F4,cue_onset_0_200ms,0.0,200.0,42,43,41,42,8.508131766229372,10.737199810866912,2.717544390223783,0.3194055363611443,0.9931765945470759,2.868770056893505,0.3076923076923077,5.615716187441003,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,F3,cue_offset_200_800ms,200.0,800.0,42,43,41,42,10.269417429457459,10.6478040021284,2.251581517846809,0.2192511438271296,0.9977396286422966,2.7398966179344075,0.14285714285714285,13.995118094961365,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,Fz,cue_offset_200_800ms,200.0,800.0,42,43,41,42,15.913909764760197,6.459474287099407,11.121391145538881,0.6988471915409574,0.9564645481141256,9.86564307793017,0.6883116883116883,14.438616043174422,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,F4,cue_offset_200_800ms,200.0,800.0,42,43,41,42,32.070555912253916,25.460198031301715,7.047592690808667,0.21975274485703053,0.9607308912837024,6.465797185924752,0.0,20.855682543036224,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,F3,cue_full_0_800ms,0.0,800.0,42,43,41,42,9.244595539762654,9.241679805013524,2.706596394349151,0.29277607470306266,0.9976110577601602,3.0713787375926365,0.34951456310679613,11.86856368612317,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,Fz,cue_full_0_800ms,0.0,800.0,42,43,41,42,14.372725688329995,5.773147464701302,10.012509765314254,0.6966326347857568,0.8883416014941742,8.87557571073999,0.7669902912621359,12.170148225577131,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,F4,cue_full_0_800ms,0.0,800.0,42,43,41,42,28.05649273489252,22.664831746993105,6.244601992004515,0.2225724380809153,0.9840804566109296,5.773288796056366,0.07766990291262135,17.00870074453646,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,F3,target_candidate_250_500ms,2450.0,2700.0,42,43,41,42,3.0000725079549797,2.551971501804208,0.8996934599721779,0.29989057184003204,0.9955676301614421,1.1635380115461198,0.0,9.363537464756519,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,Fz,target_candidate_250_500ms,2450.0,2700.0,42,43,41,42,17.535206213455993,7.088971473124935,10.60582586260544,0.6048304042450808,0.9915522728110593,9.853055826824239,1.0,12.286949216946958,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,F4,target_candidate_250_500ms,2450.0,2700.0,42,43,41,42,12.63562218476996,7.627475702356714,5.081569250155583,0.4021621710310814,0.9955454432856805,5.023198206643638,0.0,11.76348704919219,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,F3,cue_onset_0_200ms,0.0,200.0,39,44,37,43,21.230338351388564,12.531458085306934,8.741745967433436,0.41175726089460485,0.9839275462440632,7.762119284216199,0.0,13.959028912507572,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,Fz,cue_onset_0_200ms,0.0,200.0,39,44,37,43,4.818754896606347,2.297754957340062,4.375491758283517,0.9080129311754367,0.6176227919722423,3.700109103704282,0.0,7.92208837276468,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,F4,cue_onset_0_200ms,0.0,200.0,39,44,37,43,15.55803224800552,9.216461579639285,6.420453242571811,0.41267771786466684,0.9596081522324259,5.37446943603115,0.0,12.415070085800611,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,F3,cue_offset_200_800ms,200.0,800.0,39,44,37,43,85.31267995864928,69.91278792900134,16.346402097014924,0.19160577425229122,0.9985191338741647,15.961664118228144,0.025974025974025976,34.07561511497993,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,Fz,cue_offset_200_800ms,200.0,800.0,39,44,37,43,31.192088892609917,23.413202723424245,9.024971424805551,0.2893352688201579,0.9928948930204425,8.2260096634384,0.0,21.471767424685613,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,F4,cue_offset_200_800ms,200.0,800.0,39,44,37,43,79.76928786752549,67.48225380302713,13.158438999731098,0.16495620496930585,0.9982068657584173,12.03515928007692,0.0,32.92239867928739,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,F3,cue_full_0_800ms,0.0,800.0,39,44,37,43,74.53053181511694,60.775203571065894,14.800172369558178,0.1985786497038825,0.9970015525432121,14.341252345391931,0.019417475728155338,28.997641898821858,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,Fz,cue_full_0_800ms,0.0,800.0,39,44,37,43,27.077846047673923,20.27648271429312,8.106946883871935,0.29939408288231806,0.9885200075988905,7.351334391486653,0.0,18.051460091191007,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,F4,cue_full_0_800ms,0.0,800.0,39,44,37,43,69.41189055155128,58.53016190307007,11.825554654732988,0.1703678513978856,0.9974495234865944,10.75051477645087,0.0,27.745791461514035,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,F3,target_candidate_250_500ms,2450.0,2700.0,39,44,37,43,45.85450555564639,35.663571801431694,10.222489245114975,0.22293314738089476,0.9967976664843753,10.844242360874253,1.0,18.80230347216129,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,Fz,target_candidate_250_500ms,2450.0,2700.0,39,44,37,43,19.75906502686937,14.169087269732271,5.651460735488357,0.2860186313372225,0.9909440431909474,5.53210270469725,0.0,11.69786481708288,1000,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,F4,target_candidate_250_500ms,2450.0,2700.0,39,44,37,43,58.057725813714356,50.69660135551641,7.382619068087503,0.12715997680955643,0.99690612483618,7.179732042832215,0.0,20.258973518013953,1000,descriptive_pointwise_interval_not_familywise_test
