preprocessing,target_stimulus_candidate,target_onset_candidate_s,target_duration_s_assumption,match_evidence_scenario,heldout_record,cue_side,model,evaluation_window,window_start_s,window_stop_s,rmse_raw_units,nrmse_by_heldout_sd,correlation,n_train_records,n_train_record_cue_means,n_test_trials_in_cue_group,fit_parameters_train_only,response_channel_used
none,dots,,0.2,,VisualCogB_Task-1,left,Q2_plus_memory_control,late_stage,0.8,2.8,55.54968209890971,1.5211953909875124,0.39329580651723084,3,6,43,True,False
none,dots,,0.2,,VisualCogB_Task-1,right,Q2_plus_memory_control,cue_stage,0.0,0.8,74.17292499563395,2.1812149304018376,0.16202191711201244,3,6,45,True,False
none,dots,,0.2,,VisualCogB_Task-1,right,Q2_plus_memory_control,late_stage,0.8,2.8,78.47817574553262,1.1045062456075285,0.6189659032937743,3,6,45,True,False
none,dots,,0.2,,VisualCogB_Task-2,left,Training_mean_template,cue_stage,0.0,0.8,63.2138714343876,1.2292311223231638,0.9634197574214081,3,6,44,True,False
none,dots,,0.2,,VisualCogB_Task-2,left,Training_mean_template,late_stage,0.8,2.8,97.65021851600747,2.2596645567823304,0.6605098055625932,3,6,44,True,False
none,dots,,0.2,,VisualCogB_Task-2,right,Training_mean_template,cue_stage,0.0,0.8,74.10254107893448,1.1155363853672184,0.9298987076586458,3,6,47,True,False
none,dots,,0.2,,VisualCogB_Task-2,right,Training_mean_template,late_stage,0.8,2.8,77.11685725509513,1.4163081329371616,0.35038858443652277,3,6,47,True,False
none,dots,,0.2,,VisualCogB_Task-2,left,Q2_visual_only,cue_stage,0.0,0.8,60.043590489315754,1.167583134061042,0.4608719017077,3,6,44,True,False
none,dots,,0.2,,VisualCogB_Task-2,left,Q2_visual_only,late_stage,0.8,2.8,77.7938282637566,1.8001798576129755,0.6928901546045931,3,6,44,True,False
none,dots,,0.2,,VisualCogB_Task-2,right,Q2_visual_only,cue_stage,0.0,0.8,87.1805771951418,1.3124125642992677,0.3173099535878202,3,6,47,True,False
none,dots,,0.2,,VisualCogB_Task-2,right,Q2_visual_only,late_stage,0.8,2.8,100.42205298432006,1.8443252932035425,0.5250128264777352,3,6,47,True,False
none,dots,,0.2,,VisualCogB_Task-2,left,Q2_plus_memory,cue_stage,0.0,0.8,59.9957178463857,1.1666522222016322,0.5787962861960578,3,6,44,True,False
none,dots,,0.2,,VisualCogB_Task-2,left,Q2_plus_memory,late_stage,0.8,2.8,77.47208750931654,1.7927346497032621,0.7002819060555551,3,6,44,True,False
none,dots,,0.2,,VisualCogB_Task-2,right,Q2_plus_memory,cue_stage,0.0,0.8,87.15182230944117,1.3119796895180649,0.42648932266921835,3,6,47,True,False
none,dots,,0.2,,VisualCogB_Task-2,right,Q2_plus_memory,late_stage,0.8,2.8,100.32536484486839,1.8425495439946378,0.5114820161738056,3,6,47,True,False
none,dots,,0.2,,VisualCogB_Task-2,left,Q2_plus_memory_control,cue_stage,0.0,0.8,59.99571784638572,1.1666522222016327,0.5787962861960577,3,6,44,True,False
none,dots,,0.2,,VisualCogB_Task-2,left,Q2_plus_memory_control,late_stage,0.8,2.8,77.47208750931654,1.7927346497032621,0.700281906055555,3,6,44,True,False
none,dots,,0.2,,VisualCogB_Task-2,right,Q2_plus_memory_control,cue_stage,0.0,0.8,87.15182230944117,1.3119796895180649,0.42648932266921785,3,6,47,True,False
none,dots,,0.2,,VisualCogB_Task-2,right,Q2_plus_memory_control,late_stage,0.8,2.8,100.32536484486839,1.8425495439946378,0.5114820161738055,3,6,47,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,left,Training_mean_template,cue_stage,0.0,0.8,90.1585675739132,3.3956714746772474,-0.24359713848395168,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,left,Training_mean_template,late_stage,0.8,2.8,120.68295611953907,2.5989351536653182,0.4474960472766061,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,left,Training_mean_template,candidate_target_600ms,2.0,2.6,123.77108734607818,2.539091899948146,0.7781963163337348,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,right,Training_mean_template,cue_stage,0.0,0.8,78.07957539471936,13.061849097414253,0.06679067000787269,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,right,Training_mean_template,late_stage,0.8,2.8,155.19115609643598,4.338950443631611,0.2707080293263396,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,right,Training_mean_template,candidate_target_600ms,2.0,2.6,181.0119092603235,4.78005071653791,0.5878432273422676,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,left,Q2_visual_only,cue_stage,0.0,0.8,107.50424486402095,4.048967363996791,0.2935606053608638,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,left,Q2_visual_only,late_stage,0.8,2.8,132.0999565959552,2.8448028788325805,0.5720360884599256,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,left,Q2_visual_only,candidate_target_600ms,2.0,2.6,139.07714028484506,2.8530866774872155,0.5657619165506484,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,right,Q2_visual_only,cue_stage,0.0,0.8,82.20408795951481,13.751834416230302,-0.4450475591463615,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,right,Q2_visual_only,late_stage,0.8,2.8,116.86546751475993,3.2674121700806658,0.039988040381164616,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,right,Q2_visual_only,candidate_target_600ms,2.0,2.6,135.1635813060501,3.5693163853801346,0.28876769466277785,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,left,Q2_plus_memory,cue_stage,0.0,0.8,99.5405405678741,3.7490277771236857,-0.012468050665701096,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-1,left,Q2_plus_memory,late_stage,0.8,2.8,134.90468439949598,2.9052033356946447,0.5185342975351691,3,6,45,True,False
